,1,2,3
1,38.8,45.0,52.6
2,47.5,55.0,57.6
3,53.6,57.5,60.0
4,57.5,58.6,60.0
6,43.4,47.2,52.4
7,50.9,55.9,57.2
8,55.9,58.4,59.7
9,59.8,60.9,60.9
11,46.3,48.8,53.8
12,52.5,56.2,57.7
13,57.4,58.7,60.1
14,59.5,59.7,61.1
16,41.7,43.1,46.9
17,46.7,50.6,50.8
18,51.8,52.0,53.3
19,54.3,54.4,55.8
21,33.8,36.3,40.0
22,37.5,42.5,45.0
23,42.5,45.0,47.5
24,47.5,47.5,50.0
26,28.8,32.5,37.5
27,32.5,37.5,41.3
28,36.3,38.8,41.3
29,38.8,41.3,43.8
31,51.0,49.8,49.9
32,49.8,48.5,49.8
33,47.4,47.3,48.5
34,44.9,47.4,48.5
36,51.2,50.0,48.8
37,48.5,47.5,48.7
38,45.9,46.0,47.5
39,43.1,44.7,46.0
41,25.3,29.1,32.9
42,29.0,32.8,35.4
43,31.4,34.0,35.3
44,33.8,35.2,37.8
46,15.9,18.3,22.9
47,21.2,25.9,27.9
48,26.7,28.7,29.2
49,33.4,33.1,34.8
51,20.0,22.5,26.3
52,23.8,27.5,30.0
53,28.8,30.0,31.3
54,33.8,33.8,35.0
56,36.1,41.1,46.1
57,42.2,48.5,49.8
58,48.3,50.9,52.1
59,50.8,51.9,53.3
61,40.3,46.5,53.9
62,49.2,56.5,58.9
63,55.2,58.9,61.3
64,59.0,60.0,61.3
66,45.0,48.8,53.8
67,52.5,57.5,58.8
68,57.5,60.0,61.3
69,61.3,62.5,62.5
71,46.7,49.2,54.2
72,52.9,56.6,58.0
73,57.8,59.0,60.5
74,60.1,60.2,61.5
76,42.6,44.0,47.7
77,47.8,51.6,51.7
78,53.0,53.1,54.3
79,55.7,55.6,56.9
81,32.5,35.0,38.9
82,36.1,41.1,43.7
83,41.0,43.6,46.2
84,46.0,46.1,48.7
86,26.3,30.1,35.3
87,29.9,35.0,39.0
88,33.5,36.2,38.9
89,36.0,38.6,41.3
