,1,2,3
1,1.2,1.1,1.0
2,1.1,1.1,1.0
3,1.1,1.0,0.9
4,1.2,1.1,1.1
6,1.8,1.6,1.4
7,1.6,1.4,1.4
8,1.5,1.4,1.3
9,1.5,1.4,1.3
11,2.9,2.7,2.3
12,2.6,2.3,2.2
13,2.3,2.1,2.1
14,2.3,2.2,2.2
16,4.1,3.8,3.4
17,3.6,3.2,3.1
18,3.2,3.1,3.0
19,3.1,3.0,3.0
21,5.5,4.9,4.4
22,4.8,4.2,3.9
23,4.1,3.9,3.7
24,3.8,3.8,3.7
26,6.0,5.5,4.8
27,5.4,4.7,4.4
28,4.7,4.5,4.3
29,4.5,4.4,4.2
31,4.8,4.6,4.3
32,4.4,4.2,4.2
33,4.2,4.2,4.2
34,4.3,4.2,4.2
36,4.2,4.0,3.8
37,3.9,3.8,3.7
38,3.7,3.7,3.7
39,3.8,3.8,3.8
41,4.1,3.7,3.4
42,3.7,3.4,3.3
43,3.3,3.3,3.2
44,3.3,3.3,3.3
46,2.8,2.7,2.5
47,2.5,2.4,2.3
48,2.3,2.2,2.2
49,2.2,2.2,2.2
51,1.6,1.5,1.5
52,1.5,1.5,1.5
53,1.5,1.4,1.3
54,1.6,1.5,1.5
56,1.1,1.1,1.0
57,1.1,1.1,1.1
58,1.1,1.0,0.9
59,1.2,1.1,1.1
61,1.3,1.1,1.1
62,1.2,1.1,1.0
63,1.2,1.0,0.9
64,1.3,1.1,1.1
66,1.8,1.7,1.5
67,1.6,1.4,1.3
68,1.5,1.4,1.2
69,1.5,1.4,1.4
71,2.9,2.6,2.3
72,2.5,2.2,2.1
73,2.2,2.1,2.0
74,2.2,2.1,2.1
76,4.1,3.8,3.4
77,3.6,3.2,3.0
78,3.1,3.0,2.9
79,3.0,2.9,2.9
81,5.6,5.1,4.5
82,5.0,4.4,4.1
83,4.3,4.1,3.9
84,3.9,3.9,3.8
86,6.1,5.6,5.0
87,5.6,4.9,4.6
88,5.0,4.7,4.6
89,4.7,4.6,4.5
91,4.8,4.5,4.3
92,4.4,4.2,4.2
93,4.1,4.1,4.2
94,4.2,4.2,4.2
96,4.2,4.0,3.8
97,4.0,3.8,3.7
98,3.7,3.8,3.8
99,3.9,3.8,3.8
101,4.0,3.7,3.4
102,3.7,3.4,3.3
103,3.3,3.3,3.2
104,3.3,3.3,3.3
106,2.8,2.6,2.4
107,2.5,2.4,2.3
108,2.3,2.2,2.2
109,2.3,2.2,2.2
111,1.5,1.5,1.4
112,1.5,1.4,1.4
113,1.4,1.3,1.3
114,1.5,1.4,1.4
116,1.1,1.0,1.0
117,1.0,1.0,1.1
118,1.1,1.0,0.9
119,1.2,1.1,1.1
121,1.2,1.0,1.0
122,1.1,1.0,0.9
123,1.0,0.9,0.8
124,1.2,1.0,1.0
126,1.8,1.6,1.4
127,1.6,1.4,1.3
128,1.4,1.3,1.2
129,1.5,1.3,1.3
131,2.6,2.3,2.1
132,2.2,1.9,1.9
133,1.9,1.8,1.7
134,2.0,1.9,1.9
136,3.9,3.6,3.2
137,3.4,3.0,2.9
138,3.0,2.9,2.7
139,2.9,2.8,2.9
141,5.4,4.9,4.4
142,4.8,4.1,3.9
143,4.1,3.8,3.7
144,3.8,3.7,3.6
146,6.2,5.6,5.0
147,5.6,4.9,4.6
148,4.9,4.7,4.5
149,4.7,4.5,4.4
151,4.7,4.5,4.2
152,4.4,4.1,4.1
153,4.1,4.1,4.1
154,4.1,4.1,4.1
156,4.1,3.9,3.7
157,3.9,3.7,3.6
158,3.6,3.7,3.7
159,3.8,3.8,3.7
161,4.1,3.8,3.5
162,3.7,3.4,3.3
163,3.4,3.3,3.2
164,3.3,3.3,3.3
166,2.8,2.7,2.5
167,2.6,2.4,2.3
168,2.4,2.3,2.2
169,2.3,2.3,2.2
171,1.5,1.5,1.4
172,1.5,1.4,1.4
173,1.4,1.3,1.3
174,1.5,1.4,1.4
176,1.1,1.0,1.0
177,1.1,1.1,1.0
178,1.1,1.0,0.9
179,1.2,1.1,1.1
181,1.1,1.0,1.0
182,1.0,1.0,0.9
183,1.0,0.9,0.8
184,1.1,1.0,1.0
186,1.9,1.7,1.5
187,1.7,1.5,1.4
188,1.5,1.4,1.3
189,1.6,1.4,1.4
191,2.8,2.6,2.3
192,2.5,2.2,2.1
193,2.2,2.1,2.0
194,2.2,2.1,2.2
196,4.2,3.9,3.5
197,3.6,3.2,3.1
198,3.1,3.0,2.9
199,3.0,2.9,2.9
201,5.5,4.9,4.4
202,4.9,4.2,3.9
203,4.2,3.9,3.7
204,3.8,3.8,3.7
206,6.2,5.7,5.0
207,5.6,4.9,4.6
208,5.0,4.7,4.5
209,4.7,4.6,4.5
211,4.8,4.6,4.3
212,4.5,4.3,4.2
213,4.3,4.2,4.3
214,4.4,4.3,4.3
216,4.2,4.0,3.8
217,4.0,3.8,3.7
218,3.7,3.8,3.8
219,3.9,3.8,3.8
221,4.0,3.7,3.4
222,3.6,3.3,3.3
223,3.3,3.2,3.1
224,3.3,3.2,3.2
226,2.7,2.6,2.4
227,2.5,2.3,2.2
228,2.3,2.2,2.1
229,2.2,2.2,2.1
231,1.5,1.5,1.4
232,1.5,1.5,1.5
233,1.5,1.4,1.3
234,1.6,1.4,1.5
236,1.1,1.1,1.0
237,1.1,1.1,1.1
238,1.1,1.0,0.9
239,1.2,1.1,1.1
241,1.1,1.0,1.0
242,1.1,1.0,1.0
243,1.1,0.9,0.9
244,1.1,1.1,1.0
246,1.5,1.3,1.2
247,1.3,1.2,1.1
248,1.3,1.2,1.0
249,1.3,1.2,1.1
251,2.5,2.2,2.0
252,2.1,1.9,1.9
253,1.9,1.8,1.7
254,1.9,1.9,1.8
256,4.0,3.7,3.3
257,3.5,3.1,3.0
258,3.0,2.9,2.8
259,2.9,2.9,2.9
261,5.6,5.0,4.5
262,4.9,4.3,4.0
263,4.2,4.0,3.8
264,3.8,3.8,3.7
266,6.1,5.6,4.9
267,5.5,4.9,4.6
268,4.9,4.7,4.5
269,4.7,4.6,4.4
271,4.7,4.5,4.2
272,4.4,4.2,4.1
273,4.1,4.1,4.2
274,4.2,4.2,4.2
276,4.2,4.0,3.8
