,DATE,POTENTIAL EVAPOTRANSPIRATION
0,1,12.9
1,2,17.599999999999998
2,3,28.2
3,4,39.6
4,5,50.7
5,6,57.4
6,7,51.8
7,8,45.9
8,9,41.300000000000004
9,10,28.5
10,11,17.9
11,12,12.9
12,13,13.4
13,14,17.7
14,15,27.299999999999997
15,16,38.900000000000006
16,17,52.6
17,18,59.89999999999999
18,19,51.4
19,20,46.3
20,21,41.2
21,22,28.4
22,23,17.0
23,24,12.6
24,25,12.100000000000001
25,26,17.1
26,27,24.2
27,28,37.2
28,29,50.2
29,30,59.6
30,31,50.599999999999994
31,32,45.2
32,33,41.6
33,34,29.000000000000004
34,35,17.0
35,36,12.700000000000001
36,37,11.799999999999999
37,38,18.299999999999997
38,39,27.3
39,40,39.3
40,41,50.900000000000006
41,42,60.0
42,43,52.5
43,44,46.3
44,45,40.599999999999994
45,46,27.799999999999997
46,47,17.6
47,48,12.9
48,49,12.3
49,50,14.7
50,51,23.6
51,52,38.0
52,53,51.599999999999994
53,54,59.400000000000006
54,55,51.1
55,56,45.8
56,57,41.300000000000004
57,58,29.1
58,59,17.8
59,60,12.700000000000001
60,61,11.999999999999998
61,62,16.9
62,63,26.800000000000004
63,64,38.900000000000006
64,65,52.0
65,66,59.400000000000006
66,67,51.900000000000006
67,68,46.3
68,69,40.8
69,70,29.000000000000004
70,71,17.8
71,72,12.9
72,73,13.3
73,74,16.9
74,75,25.7
75,76,39.1
76,77,49.7
77,78,57.2
78,79,52.4
79,80,45.6
80,81,40.4
81,82,27.300000000000004
82,83,16.9
83,84,12.8
84,85,13.0
85,86,17.2
86,87,26.1
87,88,39.5
88,89,50.599999999999994
89,90,59.6
90,91,52.7
91,92,45.5
92,93,40.7
93,94,27.799999999999997
94,95,17.2
95,96,12.700000000000001
96,97,12.3
97,98,16.7
98,99,27.200000000000003
99,100,40.5
100,101,51.7
101,102,59.7
102,103,50.800000000000004
103,104,46.7
104,105,40.5
105,106,28.5
106,107,18.200000000000003
107,108,13.0
108,109,12.9
109,110,18.1
110,111,26.0
111,112,39.2
112,113,52.7
113,114,59.3
114,115,52.099999999999994
115,116,46.5
116,117,40.8
117,118,28.2
118,119,17.0
119,120,11.700000000000001
120,121,12.600000000000001
121,122,17.7
122,123,25.7
123,124,39.2
124,125,52.4
125,126,60.6
126,127,52.3
127,128,46.199999999999996
128,129,41.2
129,130,28.7
130,131,16.4
131,132,12.5
132,133,12.600000000000001
133,134,18.4
134,135,26.6
135,136,41.1
136,137,51.7
137,138,59.900000000000006
138,139,53.6
139,140,45.7
140,141,39.800000000000004
141,142,29.1
142,143,17.0
143,144,12.8
144,145,13.1
145,146,17.2
146,147,25.4
147,148,39.0
148,149,52.00000000000001
149,150,59.5
150,151,53.2
151,152,45.5
152,153,41.1
153,154,28.4
154,155,16.8
155,156,12.700000000000001
156,157,13.7
157,158,17.8
158,159,26.700000000000003
159,160,40.3
160,161,52.1
161,162,62.699999999999996
162,163,54.1
163,164,45.5
164,165,43.1
165,166,27.9
166,167,17.0
167,168,12.3
168,169,12.9
169,170,16.6
170,171,28.7
171,172,40.1
172,173,55.8
173,174,61.599999999999994
174,175,52.3
