,DATE,TOTAL PRECIPITATION
0,1,966.6000000000001
1,2,694.3000000000001
2,3,699.8
3,4,804.8
4,5,877.0
5,6,730.1
6,7,3009.6
7,8,1025.7
8,9,632.1999999999999
9,10,100.6
10,11,3.1999999999999997
11,12,63.50000000000001
12,13,26.8
13,14,180.10000000000002
14,15,1077.1
15,16,1053.2
16,17,978.1
17,18,1252.8
18,19,1836.0
19,20,1402.3
20,21,775.6999999999999
21,22,294.4
22,23,339.1
23,24,25.1
24,25,1093.1
25,26,482.50000000000006
26,27,993.7
27,28,504.3
28,29,570.3
29,30,419.09999999999997
30,31,3599.5999999999995
31,32,2051.4
32,33,1152.8
33,34,185.3
34,35,25.1
35,36,326.30000000000007
36,37,1481.9
37,38,139.0
38,39,2440.8999999999996
39,40,586.9
40,41,910.0
41,42,741.4000000000001
42,43,1837.0000000000002
43,44,2023.2
44,45,465.7
45,46,663.6999999999999
46,47,410.2
47,48,415.5
48,49,1647.2
49,50,607.8
50,51,682.2
51,52,341.3
52,53,443.29999999999995
53,54,737.0999999999999
54,55,1079.9
55,56,1157.1
56,57,2141.0
57,58,192.2
58,59,15.6
59,60,762.1000000000001
60,61,429.09999999999997
61,62,1943.5999999999997
62,63,1053.5
63,64,606.0
64,65,1815.4
65,66,733.8000000000001
66,67,620.9
67,68,2586.1
68,69,1658.0
69,70,24.9
70,71,3.8
71,72,196.3
72,73,680.0
73,74,1594.6
74,75,974.8999999999999
75,76,1750.4
76,77,226.4
77,78,2093.9
78,79,1022.1
79,80,2766.0
80,81,117.19999999999999
81,82,225.4
82,83,10.3
83,84,10.1
84,85,1115.1
85,86,747.3
86,87,148.1
87,88,2079.2
88,89,1398.6999999999998
89,90,790.0
90,91,1748.3
91,92,4348.4
92,93,2443.2000000000003
93,94,212.8
94,95,30.300000000000004
95,96,616.0
96,97,1157.6
97,98,577.2
98,99,654.0
99,100,1400.5
100,101,427.5
101,102,935.5999999999999
102,103,4109.400000000001
103,104,1624.3999999999999
104,105,2469.7
105,106,310.0
106,107,160.5
107,108,875.9999999999999
108,109,1422.1
109,110,631.9
110,111,674.8
111,112,1982.8000000000002
112,113,366.6
113,114,1614.0
114,115,1628.8
115,116,2237.2
116,117,335.8
117,118,169.3
118,119,3.8
119,120,376.7
120,121,2164.8999999999996
121,122,571.0
122,123,1632.6999999999998
123,124,767.2
124,125,310.4
125,126,631.5
126,127,1104.1999999999998
127,128,1337.6
128,129,1098.2
129,130,252.39999999999998
130,131,577.7
131,132,171.8
132,133,1921.4
133,134,882.4000000000001
134,135,620.3
135,136,1014.6
136,137,801.5
137,138,435.8
138,139,1198.0
139,140,1676.8
140,141,232.3
141,142,37.0
142,143,145.10000000000002
143,144,476.79999999999995
144,145,959.3
145,146,1177.1
146,147,1263.3
147,148,1330.6000000000001
148,149,1005.3000000000001
149,150,783.9000000000001
150,151,1271.4
151,152,2443.0
152,153,647.0
153,154,214.39999999999998
154,155,107.5
155,156,395.7
156,157,804.4000000000001
157,158,1368.1999999999998
158,159,676.0999999999999
159,160,950.5000000000001
160,161,686.8
161,162,459.00000000000006
162,163,2052.0
163,164,2143.8
164,165,1455.7
165,166,1431.3000000000002
166,167,535.6999999999999
167,168,548.8
168,169,417.6
169,170,1619.8
170,171,696.1
171,172,904.7
172,173,203.8
173,174,755.6
174,175,1158.3
175,176,1680.9
176,177,891.3999999999999
177,178,1036.9
178,179,6.800000000000001
179,180,91.1
180,181,349.7
181,182,1119.0
182,183,461.0
183,184,521.5
184,185,467.8
185,186,529.1
186,187,2531.5999999999995
187,188,2196.7
188,189,816.5999999999999
189,190,214.2
190,191,9.5
191,192,20.1
192,193,524.0
193,194,155.5
194,195,419.8
195,196,1158.6999999999998
196,197,428.70000000000005
197,198,2026.6999999999998
198,199,1365.8999999999999
199,200,4800.3
200,201,1968.7
201,202,1045.7
202,203,3.1999999999999997
203,204,402.40000000000003
204,205,159.89999999999998
205,206,247.0
206,207,1445.5
207,208,1773.3000000000002
208,209,24.599999999999998
209,210,648.4
210,211,1372.2
211,212,1110.6
212,213,599.2
213,214,125.80000000000001
214,215,418.0
215,216,695.4
216,217,1799.6999999999998
217,218,818.7
218,219,1471.0
219,220,534.1
220,221,358.4
221,222,165.3
222,223,1563.3
223,224,1349.1
224,225,705.1
225,226,92.5
226,227,34.199999999999996
227,228,532.1999999999999
228,229,1413.2
229,230,813.8
230,231,1347.8
231,232,1417.5
232,233,586.0
233,234,456.8
234,235,594.8
235,236,976.4
236,237,1655.4
237,238,91.3
238,239,225.0
239,240,58.599999999999994
240,241,690.5
241,242,280.7
242,243,931.4000000000001
243,244,895.3
244,245,896.6999999999999
245,246,1514.6
246,247,1500.6999999999998
247,248,2993.2000000000003
248,249,755.9
249,250,846.0999999999999
250,251,29.0
251,252,1105.8
252,253,797.3
253,254,1500.4
254,255,830.4
255,256,640.1999999999999
256,257,1006.0
257,258,776.1999999999999
258,259,785.5
259,260,1121.9
260,261,2448.3999999999996
261,262,198.3
262,263,3.1999999999999997
263,264,783.8
264,265,1589.3999999999999
265,266,1683.5
266,267,890.1
267,268,981.5
268,269,1128.5
269,270,391.4
270,271,3495.4
271,272,3276.6
272,273,292.9
273,274,551.5
274,275,53.7
275,276,640.0
276,277,1460.7000000000003
277,278,1925.4
278,279,847.5999999999999
279,280,796.8
280,281,1092.5
281,282,56.39999999999999
282,283,1942.3
283,284,935.9000000000001
284,285,1836.3000000000002
285,286,36.3
286,287,152.5
287,288,1199.8
288,289,890.5
289,290,467.6
290,291,254.1
291,292,499.49999999999994
292,293,949.5
293,294,1032.2
294,295,1913.9
295,296,2722.3999999999996
296,297,566.6999999999999
297,298,217.79999999999998
298,299,373.0
299,300,6.1000000000000005
300,301,791.7
301,302,417.90000000000003
302,303,1175.3999999999999
303,304,923.9000000000001
304,305,954.4000000000001
305,306,877.5
306,307,1205.9
307,308,2059.1
308,309,1596.3
309,310,20.4
310,311,39.9
311,312,406.6
312,313,579.2
313,314,799.7
314,315,1151.1
315,316,410.5
316,317,547.2
317,318,847.3000000000001
318,319,1267.2
319,320,2026.1
320,321,708.6999999999999
321,322,104.99999999999999
322,323,34.8
323,324,821.9000000000001
324,325,538.0999999999999
325,326,1116.0
326,327,729.5999999999999
327,328,963.8999999999999
328,329,161.5
329,330,331.7
330,331,919.3000000000002
331,332,1876.2999999999997
332,333,3381.7999999999997
333,334,10.4
334,335,383.3
335,336,540.5
336,337,658.1
337,338,629.8
338,339,150.8
339,340,386.1
340,341,354.6
341,342,1058.4
342,343,2446.4
343,344,4495.9
344,345,321.5
345,346,638.8
346,347,25.5
347,348,869.2
348,349,1410.8
349,350,554.3
350,351,424.0
351,352,1460.6
352,353,597.3
353,354,837.5
354,355,2627.5
355,356,1047.0
356,357,888.0
357,358,278.9
358,359,10.9
359,360,161.89999999999998
360,361,1235.3
361,362,967.5
362,363,364.8
363,364,1345.7
364,365,1252.5
365,366,670.7
366,367,3898.8999999999996
367,368,1604.8999999999999
368,369,793.5
369,370,550.3000000000001
370,371,104.5
371,372,93.8
372,373,1111.0
373,374,456.3
374,375,745.3000000000001
375,376,531.1
376,377,452.7
377,378,1463.6
378,379,2265.4
379,380,996.5
380,381,199.1
381,382,205.7
382,383,6.1
383,384,572.1
384,385,615.8
385,386,554.6
386,387,1330.9
387,388,757.0
388,389,235.89999999999998
389,390,955.2
390,391,1999.6999999999998
391,392,3516.1
392,393,1137.5
393,394,340.4
394,395,257.3
395,396,73.5
396,397,1159.7
397,398,735.0
398,399,782.3
399,400,687.2
400,401,530.7
401,402,575.3
402,403,1506.6999999999998
403,404,2678.8999999999996
404,405,474.8
405,406,143.4
406,407,37.5
407,408,601.3
408,409,1894.8
409,410,1248.3000000000002
410,411,1047.6
411,412,907.4000000000001
412,413,662.3
413,414,665.7
414,415,1138.6
415,416,1632.0
416,417,1035.8999999999999
417,418,472.7
418,419,544.1
419,420,210.3
420,421,466.09999999999997
421,422,1577.0
422,423,1919.9
423,424,1023.0
424,425,255.9
425,426,1645.5
426,427,2007.5
427,428,924.4
428,429,488.0
429,430,499.5
430,431,294.3
431,432,601.8
432,433,524.5
433,434,2097.7999999999997
434,435,923.2
435,436,1627.9
436,437,498.00000000000006
437,438,421.40000000000003
438,439,2989.5
439,440,237.5
440,441,826.0
441,442,754.4
442,443,61.0
443,444,633.2
444,445,1686.3
445,446,890.8
446,447,803.0
447,448,930.3
448,449,187.0
449,450,1460.3
450,451,1212.1
451,452,1520.1000000000001
452,453,172.1
453,454,469.3
454,455,14.799999999999999
455,456,196.6
456,457,917.4
457,458,2012.2
458,459,1631.0
459,460,640.8
460,461,298.0
461,462,622.1
462,463,1489.4
463,464,901.9000000000001
464,465,441.9
465,466,472.8
466,467,21.8
467,468,9.7
468,469,1202.1
469,470,587.6
470,471,1033.2
471,472,911.1999999999999
472,473,622.4
473,474,1968.6000000000001
474,475,751.9
475,476,2210.0
476,477,981.9
477,478,174.3
478,479,85.19999999999999
479,480,132.60000000000002
480,481,914.9
481,482,655.5
482,483,1178.4
483,484,1014.1000000000001
484,485,656.3000000000001
485,486,527.3
486,487,1933.7999999999997
487,488,725.8
488,489,1920.0
489,490,115.30000000000001
490,491,204.89999999999998
491,492,573.3
492,493,1194.0
493,494,2167.6
494,495,654.9
495,496,1352.8999999999999
496,497,937.4000000000001
497,498,1007.1
498,499,2136.4
499,500,2235.3
500,501,738.9
501,502,328.1
502,503,142.1
503,504,688.4
504,505,1044.8
505,506,213.2
506,507,802.7
507,508,803.3000000000001
508,509,753.8
509,510,581.8000000000001
510,511,1003.7
511,512,1774.8999999999999
512,513,1019.5999999999999
513,514,112.30000000000001
514,515,66.4
515,516,152.8
516,517,1305.0000000000002
517,518,1511.7
518,519,1035.9
519,520,1786.4
520,521,294.6
521,522,936.9000000000001
522,523,1248.5
523,524,2761.8
524,525,1231.7
525,526,132.79999999999998
526,527,327.8
527,528,584.8
528,529,1642.9
529,530,644.3
530,531,1608.2000000000003
531,532,1468.8000000000002
532,533,783.6
533,534,1594.4
534,535,1771.6999999999998
535,536,1549.5
536,537,1325.9999999999998
537,538,538.3
538,539,56.5
539,540,299.9
540,541,372.9
541,542,842.7
542,543,674.5
543,544,361.20000000000005
544,545,434.2
545,546,806.1
546,547,1238.4
547,548,1055.1
548,549,352.7
549,550,523.0
550,551,318.6
551,552,511.3
552,553,507.9
553,554,910.5999999999999
554,555,681.6
555,556,249.5
556,557,783.6
557,558,978.8000000000001
558,559,1531.1
559,560,2182.2
560,561,1582.1
561,562,518.3
562,563,48.7
563,564,888.2
564,565,490.3
565,566,1467.3000000000002
566,567,2741.1
567,568,1076.8
568,569,661.6
569,570,1382.7
570,571,3604.2
571,572,2789.2
572,573,949.0
573,574,117.89999999999999
574,575,103.9
575,576,830.5
576,577,708.3000000000001
577,578,1419.4
578,579,999.6
579,580,416.29999999999995
580,581,438.09999999999997
581,582,796.3
582,583,1815.5
583,584,1132.8
584,585,1342.1000000000001
585,586,211.5
586,587,44.400000000000006
587,588,123.30000000000001
588,589,2653.4
589,590,897.4
590,591,1967.6
591,592,863.1
592,593,736.3000000000001
593,594,307.3
594,595,2063.4
595,596,2297.6
596,597,2454.9
597,598,129.0
598,599,70.4
599,600,35.3
600,601,1276.0
601,602,832.0
602,603,1503.3
603,604,862.7
604,605,1139.7
605,606,1240.8
606,607,1244.0
607,608,2311.5
608,609,573.4
609,610,343.1
610,611,547.0999999999999
611,612,177.5
612,613,1031.1000000000001
613,614,1052.6
614,615,1359.3999999999999
615,616,425.0
616,617,430.3
617,618,932.3000000000001
618,619,2028.8
619,620,1287.2
620,621,279.0
621,622,51.4
622,623,53.5
623,624,573.8
624,625,1339.2999999999997
625,626,717.1
626,627,1290.8
627,628,1050.3
628,629,228.5
629,630,818.4
630,631,2185.7
631,632,1962.3000000000002
632,633,1588.8000000000002
633,634,870.5999999999999
634,635,87.7
635,636,643.6
636,637,1577.7
637,638,1897.1
638,639,742.0
639,640,572.7
640,641,837.9
641,642,883.2
642,643,1051.5
643,644,1143.6999999999998
644,645,3026.4
645,646,649.0999999999999
646,647,81.5
647,648,116.6
648,649,712.8
649,650,73.39999999999999
650,651,2788.6000000000004
651,652,589.0
652,653,907.4
653,654,432.8
654,655,1635.9
655,656,2943.2999999999997
656,657,1195.1999999999998
657,658,670.7
658,659,6.199999999999999
659,660,290.8
660,661,973.1
661,662,1376.6999999999998
662,663,1636.1
663,664,1580.1
664,665,130.7
665,666,1991.0
666,667,2415.0
667,668,3817.1
668,669,364.9
669,670,1234.0
670,671,43.5
671,672,278.1
672,673,2499.5
673,674,823.4
674,675,1278.9
675,676,2403.2999999999997
676,677,905.9
677,678,1320.4
678,679,565.6
679,680,3555.2000000000003
680,681,266.90000000000003
681,682,1547.3
682,683,1061.6999999999998
683,684,1091.1
684,685,639.6
685,686,146.39999999999998
686,687,727.9
687,688,724.0
688,689,585.6
689,690,691.0000000000001
690,691,1265.1
691,692,1996.6000000000001
692,693,1572.2
693,694,228.9
694,695,311.7
695,696,1541.0
696,697,1530.1999999999998
697,698,1237.3
698,699,1340.1
699,700,599.0
700,701,1865.6999999999998
701,702,268.6
702,703,4241.900000000001
703,704,1455.2
704,705,864.1
705,706,408.8
706,707,922.4
707,708,445.8
708,709,410.6
709,710,791.0
710,711,1274.8000000000002
711,712,1038.2
712,713,912.7
713,714,562.2
714,715,2426.4
715,716,1727.2
716,717,350.80000000000007
717,718,20.3
718,719,119.4
719,720,656.5999999999999
720,721,1748.0
721,722,495.29999999999995
722,723,468.0
723,724,1461.8000000000002
724,725,430.09999999999997
725,726,802.7
726,727,2192.0
727,728,1455.1
728,729,1228.1
729,730,528.9
730,731,391.6
731,732,430.7
732,733,440.1
733,734,956.6
734,735,492.79999999999995
735,736,1398.2
736,737,360.6
737,738,811.0
738,739,2249.9
739,740,1796.8999999999999
740,741,2688.7
741,742,47.8
742,743,512.8
743,744,583.6000000000001
744,745,17.4
745,746,637.4000000000001
746,747,2212.0
747,748,1126.3
748,749,696.7
749,750,266.70000000000005
750,751,850.0
751,752,1123.4
752,753,811.5
753,754,122.60000000000001
754,755,622.3
755,756,783.8
756,757,1239.1
757,758,864.4
758,759,620.4
759,760,1646.8000000000002
760,761,673.8
761,762,1373.1
762,763,3307.0999999999995
763,764,2217.5
764,765,751.2
765,766,30.4
766,767,42.599999999999994
767,768,880.0999999999999
768,769,1081.6999999999998
769,770,1379.2
770,771,839.8
771,772,1670.2000000000003
772,773,1087.5
773,774,165.2
774,775,2048.8
775,776,1454.3
776,777,347.8
777,778,616.7
778,779,316.1
779,780,105.1
780,781,10.100000000000001
781,782,2029.7999999999997
782,783,2104.2
783,784,813.0999999999999
784,785,1144.7
785,786,899.9999999999999
786,787,2352.2
787,788,1468.1
788,789,2289.9
789,790,1181.9
790,791,40.10000000000001
791,792,189.7
792,793,156.5
793,794,1451.3
794,795,1537.0000000000002
795,796,766.7
796,797,1743.1000000000001
797,798,502.7
798,799,783.0
799,800,1869.8999999999999
800,801,957.3000000000001
801,802,597.8
802,803,281.0
803,804,1492.6000000000001
804,805,989.9000000000001
805,806,710.5999999999999
806,807,844.5
807,808,951.4
808,809,669.1
809,810,377.4
810,811,1599.0
811,812,2024.7999999999997
812,813,71.7
813,814,709.0999999999999
814,815,411.1
815,816,416.2
816,817,796.5
817,818,1252.4
818,819,1158.7
819,820,2091.6
820,821,942.3
821,822,482.6
822,823,1284.1
823,824,909.8
824,825,644.5
825,826,829.3
826,827,20.5
827,828,4.2
828,829,720.0
829,830,625.2
830,831,878.0
831,832,848.1
832,833,624.3
833,834,1252.8
834,835,1670.9
835,836,1714.0000000000002
836,837,1166.7
837,838,918.5999999999999
838,839,2.1
839,840,84.5
840,841,96.8
841,842,1396.2
842,843,332.5
843,844,953.2
844,845,459.7
845,846,1275.2
846,847,1657.1
847,848,1623.8999999999999
848,849,407.4
849,850,112.39999999999999
850,851,108.4
851,852,44.9
852,853,927.2
853,854,927.1
854,855,2293.8999999999996
855,856,583.4000000000001
856,857,1518.0000000000002
857,858,693.9
858,859,1913.6999999999998
859,860,2010.6000000000001
860,861,1097.3
861,862,613.1
862,863,249.2
863,864,545.7
864,865,2118.7
865,866,1249.0
866,867,2551.6
867,868,1337.4
868,869,757.0
869,870,462.79999999999995
870,871,2885.7
871,872,3496.5999999999995
872,873,830.5999999999999
873,874,265.8
874,875,13.0
875,876,509.70000000000005
876,877,1396.5
877,878,1246.1999999999998
878,879,907.1000000000001
879,880,398.20000000000005
880,881,682.7
881,882,2101.7999999999997
882,883,1976.6
883,884,1191.8000000000002
884,885,766.0999999999999
885,886,83.0
886,887,35.699999999999996
887,888,765.5999999999999
888,889,877.6999999999999
889,890,1207.6
890,891,1667.4
891,892,620.8000000000001
892,893,1312.1
893,894,946.9
894,895,3325.5
895,896,4652.5
896,897,1347.6000000000001
897,898,77.8
898,899,90.4
899,900,129.2
900,901,1370.6999999999998
901,902,1778.1
902,903,1059.5
903,904,499.69999999999993
904,905,381.8
905,906,634.1999999999999
906,907,1300.9999999999998
907,908,6492.700000000001
908,909,1593.3999999999999
909,910,610.8
910,911,33.9
911,912,126.10000000000001
912,913,1616.1
913,914,150.6
914,915,235.10000000000002
915,916,1295.0
916,917,648.3
917,918,852.5
918,919,1673.1
919,920,1433.3
920,921,612.8
921,922,873.4
922,923,176.29999999999998
923,924,639.9
924,925,573.7
925,926,593.7
926,927,2309.7999999999997
927,928,537.8000000000001
928,929,736.2
929,930,876.4
930,931,5206.6
931,932,2340.0
932,933,907.9000000000001
933,934,60.8
934,935,941.1
935,936,64.1
936,937,518.9
937,938,979.3000000000001
938,939,1722.3000000000002
939,940,1588.3000000000002
940,941,1265.1
941,942,849.0
942,943,1107.2
943,944,2425.3
944,945,1158.4
945,946,130.00000000000003
946,947,549.0999999999999
947,948,352.80000000000007
948,949,656.0999999999999
949,950,1704.9
950,951,1098.7
951,952,581.6
952,953,815.9000000000001
953,954,1406.5000000000002
954,955,3586.5
955,956,1618.0000000000002
956,957,1837.4
957,958,394.1
958,959,373.4
959,960,351.90000000000003
960,961,1832.9
961,962,1166.6
962,963,2920.7
963,964,1913.5
964,965,702.7
965,966,1041.9999999999998
966,967,3321.4
967,968,1276.7
968,969,427.4
969,970,319.6
970,971,418.50000000000006
971,972,25.0
972,973,673.7
973,974,1113.1
974,975,2406.6
975,976,1473.1000000000001
976,977,793.5
977,978,363.1
978,979,1023.5
979,980,1770.1999999999998
980,981,507.7
981,982,1015.8000000000001
982,983,1078.4
983,984,999.4
984,985,1206.7
985,986,668.1
986,987,2903.7
987,988,1521.8000000000002
988,989,1317.5
989,990,1200.6000000000001
990,991,1791.2
991,992,2309.7000000000003
992,993,669.5
993,994,436.6
994,995,40.7
995,996,83.4
996,997,203.6
997,998,993.8999999999999
998,999,975.5
999,1000,1117.0
1000,1001,1180.6
1001,1002,713.1
1002,1003,2750.4
1003,1004,2606.1
1004,1005,1672.0
1005,1006,110.30000000000001
1006,1007,371.3
1007,1008,518.5
1008,1009,560.1999999999999
1009,1010,238.5
1010,1011,300.4
1011,1012,938.0000000000001
1012,1013,1033.5
1013,1014,330.4
1014,1015,2253.7
1015,1016,2175.3
1016,1017,235.3
1017,1018,624.2
1018,1019,72.2
1019,1020,1867.7
1020,1021,177.70000000000002
1021,1022,1633.4
1022,1023,1880.8000000000002
1023,1024,1429.5
1024,1025,548.2
1025,1026,1036.7
1026,1027,1847.0
1027,1028,3571.2000000000003
1028,1029,580.3
1029,1030,409.5
1030,1031,1204.9
1031,1032,1210.4
1032,1033,627.7
1033,1034,1046.2
1034,1035,973.9999999999999
1035,1036,1768.9
1036,1037,1475.3000000000002
1037,1038,1754.6
1038,1039,1332.1
1039,1040,788.6999999999999
1040,1041,303.4
1041,1042,1665.3000000000002
1042,1043,2.0
1043,1044,227.8
1044,1045,836.9000000000001
1045,1046,1205.5
1046,1047,2289.2
1047,1048,495.0
1048,1049,140.0
1049,1050,1842.8
1050,1051,3891.5999999999995
1051,1052,2330.0
1052,1053,1750.7
1053,1054,341.0
1054,1055,61.39999999999999
1055,1056,1024.2
1056,1057,679.5
1057,1058,528.3
1058,1059,842.6999999999999
1059,1060,691.5
1060,1061,1223.0
1061,1062,451.7
1062,1063,3635.7000000000003
1063,1064,2351.9
1064,1065,796.0999999999999
1065,1066,275.1
1066,1067,311.0
1067,1068,340.5
1068,1069,1254.1
1069,1070,1644.8000000000002
1070,1071,1822.8999999999999
1071,1072,936.6
1072,1073,333.6
1073,1074,631.4
1074,1075,2063.6
1075,1076,2570.5
1076,1077,1172.0
1077,1078,198.1
1078,1079,85.69999999999999
1079,1080,1942.7
1080,1081,523.7
1081,1082,1505.1
1082,1083,1405.4
1083,1084,1734.4999999999998
1084,1085,1077.6
1085,1086,587.5
1086,1087,1644.2000000000003
1087,1088,1485.0
1088,1089,1092.2
1089,1090,93.1
1090,1091,77.0
1091,1092,300.70000000000005
1092,1093,2160.3
1093,1094,1108.5
1094,1095,2224.7999999999997
1095,1096,685.0
1096,1097,874.2
1097,1098,351.59999999999997
1098,1099,1420.3
1099,1100,2108.2
1100,1101,2158.6
1101,1102,346.0
1102,1103,471.4
1103,1104,234.7
1104,1105,863.1000000000001
1105,1106,834.4000000000001
1106,1107,1674.2
1107,1108,504.79999999999995
1108,1109,750.2
1109,1110,1641.0
1110,1111,3860.7000000000003
1111,1112,533.9
1112,1113,708.3000000000001
1113,1114,107.7
1114,1115,245.7
1115,1116,13.399999999999999
