,1,2,3
1,3.3,1.4,-1.9
2,0.8,-2.7,-5.1
3,-2.5,-4.5,-5.7
4,-8.9,-8.2,-11.1
6,5.0,2.6,-1.3
7,1.9,-2.4,-4.9
8,-2.4,-4.2,-5.2
9,-8.6,-8.0,-10.9
11,11.7,9.0,5.2
12,8.1,3.8,1.7
13,3.8,2.1,1.5
14,-2.1,-1.0,-3.7
16,15.5,12.5,8.4
17,11.3,7.0,4.6
18,6.7,5.1,4.3
19,0.5,1.5,-1.2
21,20.1,16.7,12.0
22,15.6,10.5,7.8
23,10.4,8.4,7.2
24,3.6,4.6,1.5
26,24.0,20.3,15.6
27,18.9,13.7,11.5
28,13.1,11.7,10.8
29,6.8,7.8,5.1
31,24.9,22.0,18.1
32,20.2,16.1,14.4
33,15.2,14.3,14.2
34,9.6,10.9,8.5
36,24.4,21.4,17.7
37,20.1,16.0,14.3
38,15.1,14.4,14.2
39,9.9,11.2,9.1
41,21.5,18.2,13.9
42,16.6,12.2,10.2
43,11.8,10.3,9.5
44,6.1,7.0,4.7
46,15.8,13.0,9.5
47,11.4,7.6,5.5
48,7.2,5.6,4.4
49,1.2,1.9,-0.7
51,9.7,7.2,3.9
52,6.9,3.5,1.1
53,4.1,2.0,0.7
54,-1.7,-1.2,-4.1
56,4.9,2.9,0.1
57,2.8,-0.3,-2.7
58,0.3,-2.0,-3.4
59,-5.6,-5.2,-8.3
61,5.2,3.3,0.2
62,2.7,-0.8,-3.2
63,-0.6,-2.7,-3.9
64,-7.0,-6.3,-9.7
66,6.8,4.5,0.9
67,3.6,-0.7,-3.0
68,-0.8,-2.5,-3.7
69,-7.6,-6.7,-9.5
71,11.7,9.0,5.4
72,7.6,3.5,1.5
73,3.0,1.4,0.6
74,-3.3,-2.1,-5.2
76,15.9,12.9,9.0
77,11.4,7.1,4.9
78,6.6,5.1,4.1
79,0.3,1.3,-1.5
81,21.4,18.0,13.1
82,16.9,11.8,9.1
83,11.8,9.8,8.6
84,5.1,6.1,2.9
86,24.2,20.5,15.5
87,19.7,14.4,12.0
88,14.4,12.7,12.1
89,8.3,9.2,6.6
91,24.7,21.8,17.8
92,20.3,15.7,14.3
93,15.0,14.1,13.8
94,9.6,10.8,8.5
96,24.3,21.2,17.4
97,20.0,15.8,14.1
98,15.0,14.3,14.0
99,9.8,11.1,8.8
101,21.3,18.0,13.7
102,16.5,12.1,10.0
103,11.7,10.2,9.5
104,6.0,6.8,4.6
106,15.0,12.1,8.3
107,11.1,7.2,4.9
108,7.4,5.4,4.3
109,1.5,2.2,-0.3
111,8.5,6.0,2.7
112,5.7,2.2,-0.2
113,2.8,0.6,-0.9
114,-3.1,-2.6,-5.5
116,3.8,1.8,-1.1
117,1.8,-1.3,-3.6
118,-0.7,-3.0,-4.3
119,-6.5,-6.1,-9.2
121,2.8,1.0,-2.0
122,0.1,-3.4,-5.6
123,-3.4,-5.4,-6.7
124,-9.9,-9.2,-12.2
126,5.4,3.0,-0.8
127,2.1,-2.2,-4.6
128,-2.3,-4.0,-5.2
129,-9.0,-8.2,-11.1
131,8.2,5.6,2.2
132,4.0,-0.1,-2.0
133,-0.8,-2.1,-3.1
134,-7.0,-5.9,-8.9
136,13.8,10.9,6.9
137,9.4,5.2,3.0
138,4.9,3.2,2.3
139,-1.5,-0.3,-3.0
141,19.7,16.3,11.7
142,15.1,10.0,7.4
143,9.8,7.9,6.7
144,3.1,4.1,1.0
146,24.8,21.1,16.2
147,19.9,14.7,12.4
148,14.4,12.8,11.9
149,8.1,9.1,6.2
151,24.5,21.6,17.7
152,19.9,15.6,14.2
153,14.6,13.7,13.6
154,9.1,10.5,8.2
156,23.8,20.7,16.9
157,19.6,15.3,13.6
158,14.7,13.8,13.6
159,9.4,10.7,8.3
161,22.0,18.8,14.5
162,17.2,12.8,10.8
163,12.4,10.8,10.1
164,6.6,7.5,5.2
166,15.7,12.7,8.9
167,11.8,7.9,5.6
168,8.0,6.1,5.0
169,2.2,2.9,0.2
171,8.0,5.6,2.4
172,5.3,1.9,-0.5
173,2.3,0.3,-1.2
174,-3.5,-3.0,-5.8
176,4.0,2.1,-0.5
177,1.8,-1.3,-3.6
178,-1.2,-3.0,-4.2
179,-7.0,-6.6,-9.3
181,2.0,0.2,-2.3
182,-1.1,-4.4,-6.6
183,-4.7,-6.5,-7.7
184,-11.2,-10.4,-13.1
186,6.9,4.4,0.7
187,3.8,-0.6,-3.1
188,-0.6,-2.3,-3.3
189,-7.3,-6.4,-9.1
191,10.5,7.8,3.9
192,6.7,2.6,0.5
193,2.4,0.8,0.1
194,-3.7,-2.6,-5.1
196,16.2,13.3,9.4
197,11.8,7.5,5.4
198,7.0,5.5,4.6
199,0.7,1.7,-1.0
201,20.3,16.9,12.0
202,15.9,10.8,8.1
203,10.9,8.7,7.4
204,4.2,5.2,1.9
206,24.9,21.3,16.4
207,20.2,15.0,12.6
208,14.9,13.2,12.4
209,8.6,9.7,6.9
211,24.6,21.7,17.7
212,20.3,15.9,14.2
213,15.4,14.4,14.3
214,9.9,11.2,8.8
