,Unnamed: 0.1,Unnamed: 0.1.1,DATE,TEMPERATURE
0,0,0,1901-01-31,-0.39375
1,1,1,1901-02-28,0.16875
2,2,2,1901-03-31,7.13125
3,3,3,1901-04-30,10.65
4,4,4,1901-05-31,14.5125
5,5,5,1901-06-30,18.21875
6,6,6,1901-07-31,19.89375
7,7,7,1901-08-31,19.6625
8,8,8,1901-09-30,16.85
9,9,9,1901-10-31,12.38125
10,10,10,1901-11-30,7.70625
11,11,11,1901-12-31,2.45625
12,12,12,1902-01-31,1.46875
13,13,13,1902-02-28,1.825
14,14,14,1902-03-31,6.5875
15,15,15,1902-04-30,10.74375
16,16,16,1902-05-31,15.83125
17,17,17,1902-06-30,19.0
18,18,18,1902-07-31,19.70625
19,19,19,1902-08-31,19.475
20,20,20,1902-09-30,16.70625
21,21,21,1902-10-31,12.05625
22,22,22,1902-11-30,6.4
23,23,23,1902-12-31,1.475
24,24,24,1903-01-31,-1.05625
25,25,25,1903-02-28,0.28125
26,26,26,1903-03-31,3.08125
27,27,27,1903-04-30,8.9125
28,28,28,1903-05-31,14.0625
29,29,29,1903-06-30,19.1875
30,30,30,1903-07-31,19.4625
31,31,31,1903-08-31,19.0125
32,32,32,1903-09-30,17.4
33,33,33,1903-10-31,12.6875
34,34,34,1903-11-30,6.05625
35,35,35,1903-12-31,1.50625
36,36,36,1904-01-31,-1.95625
37,37,37,1904-02-29,1.95625
38,38,38,1904-03-31,5.79375
39,39,39,1904-04-30,11.1875
40,40,40,1904-05-31,14.8
41,41,41,1904-06-30,19.5625
42,42,42,1904-07-31,19.875
43,43,43,1904-08-31,19.3875
44,44,44,1904-09-30,16.29375
45,45,45,1904-10-31,11.15625
46,46,46,1904-11-30,6.7625
47,47,47,1904-12-31,2.60625
48,48,48,1905-01-31,-1.7625
49,49,49,1905-02-28,-3.275
50,50,50,1905-03-31,1.86875
51,51,51,1905-04-30,9.03125
52,52,52,1905-05-31,15.83125
53,53,53,1905-06-30,19.175
54,54,54,1905-07-31,20.2375
55,55,55,1905-08-31,19.74375
56,56,56,1905-09-30,16.94375
57,57,57,1905-10-31,12.85625
58,58,58,1905-11-30,7.4625
59,59,59,1905-12-31,1.71875
60,60,60,1906-01-31,-1.8375
61,61,61,1906-02-28,-0.875
62,62,62,1906-03-31,4.5125
63,63,63,1906-04-30,9.98125
64,64,64,1906-05-31,16.31875
65,65,65,1906-06-30,18.9375
66,66,66,1906-07-31,20.325
67,67,67,1906-08-31,19.91875
68,68,68,1906-09-30,16.34375
69,69,69,1906-10-31,12.69375
70,70,70,1906-11-30,7.66875
71,71,71,1906-12-31,3.7
72,72,72,1907-01-31,1.825
73,73,73,1907-02-28,-0.625
74,74,74,1907-03-31,3.34375
75,75,75,1907-04-30,10.09375
76,76,76,1907-05-31,13.3125
77,77,77,1907-06-30,17.41875
