DATE,TEMPERATURE
31-01-1901,-0.39375
28-02-1901,0.16875
31-03-1901,7.13125
30-04-1901,10.65
31-05-1901,14.5125
30-06-1901,18.21875
31-07-1901,19.89375
31-08-1901,19.6625
30-09-1901,16.85
31-10-1901,12.38125
30-11-1901,7.70625
31-12-1901,2.45625
31-01-1902,1.46875
28-02-1902,1.825
31-03-1902,6.5875
30-04-1902,10.74375
31-05-1902,15.83125
30-06-1902,19
31-07-1902,19.70625
31-08-1902,19.475
30-09-1902,16.70625
31-10-1902,12.05625
30-11-1902,6.4
31-12-1902,1.475
31-01-1903,-1.05625
28-02-1903,0.28125
31-03-1903,3.08125
30-04-1903,8.9125
31-05-1903,14.0625
30-06-1903,19.1875
31-07-1903,19.4625
31-08-1903,19.0125
30-09-1903,17.4
31-10-1903,12.6875
30-11-1903,6.05625
31-12-1903,1.50625
31-01-1904,-1.95625
29-02-1904,1.95625
31-03-1904,5.79375
30-04-1904,11.1875
31-05-1904,14.8
30-06-1904,19.5625
31-07-1904,19.875
31-08-1904,19.3875
30-09-1904,16.29375
31-10-1904,11.15625
30-11-1904,6.7625
31-12-1904,2.60625
31-01-1905,-1.7625
28-02-1905,-3.275
31-03-1905,1.86875
30-04-1905,9.03125
31-05-1905,15.83125
30-06-1905,19.175
31-07-1905,20.2375
31-08-1905,19.74375
30-09-1905,16.94375
31-10-1905,12.85625
30-11-1905,7.4625
31-12-1905,1.71875
31-01-1906,-1.8375
28-02-1906,-0.875
31-03-1906,4.5125
30-04-1906,9.98125
31-05-1906,16.31875
30-06-1906,18.9375
31-07-1906,20.325
31-08-1906,19.91875
30-09-1906,16.34375
31-10-1906,12.69375
30-11-1906,7.66875
31-12-1906,3.7
31-01-1907,1.825
28-02-1907,-0.625
31-03-1907,3.34375
30-04-1907,10.09375
31-05-1907,13.3125
30-06-1907,17.41875
31-07-1907,20.19375
31-08-1907,19.08125
30-09-1907,16.59375
31-10-1907,11.7
30-11-1907,6.8
31-12-1907,1.45
31-01-1908,0.91875
29-02-1908,0.81875
31-03-1908,5.2625
30-04-1908,11.48125
31-05-1908,14.73125
30-06-1908,19.14375
31-07-1908,20.35
31-08-1908,18.625
30-09-1908,15.99375
31-10-1908,10.88125
30-11-1908,6.51875
31-12-1908,1.75625
31-01-1909,-1.76875
28-02-1909,-0.54375
31-03-1909,6.11875
30-04-1909,11.2375
31-05-1909,15.00625
30-06-1909,18.73125
31-07-1909,19.16875
31-08-1909,19.64375
30-09-1909,15.70625
31-10-1909,11.9125
30-11-1909,8.4125
31-12-1909,2.325
31-01-1910,0.0625
28-02-1910,1.2625
31-03-1910,4.74375
30-04-1910,9.725
