Data section,380,,
Data section,16.9,12.8,7.5
Data section,11.7,5.7,3.1
Data section,5.7,3.5,2.5
Data section,-0.8,-0.1,-2.6
Data section,410,,
Data section,18,13.9,8.3
Data section,12.4,6.2,3.7
Data section,5.8,4,3.4
Data section,-0.4,0.4,-2.2
Data section,439,,
Data section,25,20.8,15.5
Data section,19.1,13.1,11.1
Data section,12.5,11.1,11
Data section,6.5,8,5.7
Data section,470,,
Data section,29.9,25.5,19.9
Data section,23.3,17.3,15
Data section,16.4,15.2,14.9
Data section,10,11.5,9.2
Data section,500,,
Data section,35.5,30.7,24.5
Data section,28.6,21.8,19.3
Data section,20.9,19.5,19
Data section,14.1,15.6,12.9
Data section,531,,
Data section,38.5,33.9,28.2
Data section,32.1,25.6,23.4
Data section,24.4,23.5,23.2
Data section,18.1,19.6,17
Data section,561,,
Data section,35.1,31.9,28
Data section,30,25.6,24.6
Data section,24.3,24.3,25.1
Data section,19.9,21.7,19.9
Data section,592,,
Data section,33.8,30.8,27.2
Data section,29.3,25.1,24.2
Data section,23.8,24.1,24.9
Data section,19.9,21.7,20.2
Data section,623,,
Data section,33.8,30.2,25.9
Data section,28.5,23.6,22.3
Data section,22.5,22.2,22.5
Data section,17.8,19.4,17.5
Data section,653,,
Data section,31.9,27.9,23.2
Data section,25.7,20.2,18.4
Data section,18.9,18.2,17.9
Data section,12.9,14.3,11.9
Data section,684,,
Data section,26.4,22.2,17
Data section,21.1,15.4,13
Data section,15.1,13.5,12.8
Data section,8.9,10,7.3
Data section,714,,
Data section,19.7,15.6,10.5
Data section,14.7,9.1,6.5
Data section,9.2,6.8,5.6
Data section,3,3.6,0.7
Data section,745,,
Data section,18.8,14.7,9.5
Data section,13.6,7.6,5
Data section,7.6,5.3,4.3
Data section,1.2,1.9,-1.2
Data section,775,,
Data section,19.8,15.8,10.4
Data section,14.1,7.9,5.6
Data section,7.4,5.7,4.9
Data section,0.6,1.7,-0.8
Data section,804,,
Data section,25,20.8,15.7
Data section,18.6,12.8,10.9
Data section,11.7,10.4,10.1
Data section,5.3,6.9,4.2
Data section,835,,
Data section,30.3,25.9,20.5
Data section,23.4,17.4,15.3
Data section,16.3,15.2,14.7
Data section,9.8,11.3,8.9
Data section,865,,
Data section,36.8,32,25.6
Data section,29.9,23.1,20.6
Data section,22.3,20.9,20.4
Data section,15.6,17.1,14.3
Data section,896,,
Data section,38.7,34.1,28.1
Data section,32.9,26.3,23.9
Data section,25.7,24.5,24.5
Data section,19.6,21,18.5
Data section,926,,
Data section,34.9,31.7,27.7
Data section,30.1,25.2,24.5
Data section,24.1,24.1,24.7
Data section,19.9,21.6,19.9
Data section,957,,
Data section,33.7,30.6,26.9
Data section,29.2,24.9,24
Data section,23.7,24,24.7
Data section,19.8,21.6,19.9
Data section,988,,
Data section,33.6,30,25.7
Data section,28.4,23.5,22.1
Data section,22.4,22.1,22.5
Data section,17.7,19.2,17.4
Data section,1018,,
Data section,31.1,27,22
Data section,25.4,19.8,17.8
Data section,19.1,18,17.8
Data section,13.2,14.6,12.3
Data section,1049,,
Data section,25.2,21,15.8
Data section,19.9,14.1,11.8
Data section,13.8,12.1,11.3
Data section,7.5,8.6,5.9
Data section,1079,,
Data section,18.6,14.5,9.3
Data section,13.7,8.1,5.6
Data section,8.3,5.8,4.7
Data section,2.1,2.7,-0.2
Data section,1110,,
Data section,16.4,12.4,7.4
