,1,2,3
1,16.9,12.8,7.5
2,11.7,5.7,3.1
3,5.7,3.5,2.5
4,-0.8,-0.1,-2.6
6,18.0,13.9,8.3
7,12.4,6.2,3.7
8,5.8,4.0,3.4
9,-0.4,0.4,-2.2
11,25.0,20.8,15.5
12,19.1,13.1,11.1
13,12.5,11.1,11.0
14,6.5,8.0,5.7
16,29.9,25.5,19.9
17,23.3,17.3,15.0
18,16.4,15.2,14.9
19,10.0,11.5,9.2
21,35.5,30.7,24.5
22,28.6,21.8,19.3
23,20.9,19.5,19.0
24,14.1,15.6,12.9
26,38.5,33.9,28.2
27,32.1,25.6,23.4
28,24.4,23.5,23.2
29,18.1,19.6,17.0
31,35.1,31.9,28.0
32,30.0,25.6,24.6
33,24.3,24.3,25.1
34,19.9,21.7,19.9
36,33.8,30.8,27.2
37,29.3,25.1,24.2
38,23.8,24.1,24.9
39,19.9,21.7,20.2
41,33.8,30.2,25.9
42,28.5,23.6,22.3
43,22.5,22.2,22.5
44,17.8,19.4,17.5
46,31.9,27.9,23.2
47,25.7,20.2,18.4
48,18.9,18.2,17.9
49,12.9,14.3,11.9
51,26.4,22.2,17.0
52,21.1,15.4,13.0
53,15.1,13.5,12.8
54,8.9,10.0,7.3
56,19.7,15.6,10.5
57,14.7,9.1,6.5
58,9.2,6.8,5.6
59,3.0,3.6,0.7
61,18.8,14.7,9.5
62,13.6,7.6,5.0
63,7.6,5.3,4.3
64,1.2,1.9,-1.2
66,19.8,15.8,10.4
67,14.1,7.9,5.6
68,7.4,5.7,4.9
69,0.6,1.7,-0.8
71,25.0,20.8,15.7
72,18.6,12.8,10.9
73,11.7,10.4,10.1
74,5.3,6.9,4.2
76,30.3,25.9,20.5
77,23.4,17.4,15.3
78,16.3,15.2,14.7
79,9.8,11.3,8.9
81,36.8,32.0,25.6
82,29.9,23.1,20.6
83,22.3,20.9,20.4
84,15.6,17.1,14.3
86,38.7,34.1,28.1
87,32.9,26.3,23.9
88,25.7,24.5,24.5
89,19.6,21.0,18.5
91,34.9,31.7,27.7
92,30.1,25.2,24.5
93,24.1,24.1,24.7
94,19.9,21.6,19.9
96,33.7,30.6,26.9
97,29.2,24.9,24.0
98,23.7,24.0,24.7
99,19.8,21.6,19.9
101,33.6,30.0,25.7
102,28.4,23.5,22.1
103,22.4,22.1,22.5
104,17.7,19.2,17.4
106,31.1,27.0,22.0
107,25.4,19.8,17.8
108,19.1,18.0,17.8
109,13.2,14.6,12.3
111,25.2,21.0,15.8
112,19.9,14.1,11.8
113,13.8,12.1,11.3
114,7.5,8.6,5.9
116,18.6,14.5,9.3
117,13.7,8.1,5.6
118,8.3,5.8,4.7
119,2.1,2.7,-0.2
121,16.4,12.4,7.4
122,11.0,5.0,2.6
123,4.8,2.6,1.5
124,-1.8,-1.1,-3.7
126,18.4,14.3,8.8
127,12.6,6.4,4.0
128,5.9,4.2,3.4
129,-0.8,0.2,-2.4
131,21.5,17.4,12.5
132,15.0,9.3,7.4
133,8.0,6.9,6.5
134,1.6,3.1,0.5
136,28.2,23.9,18.4
137,21.4,15.5,13.4
138,14.6,13.3,12.9
139,8.1,9.7,7.4
141,35.1,30.3,24.2
142,28.1,21.3,18.9
143,20.3,19.0,18.5
144,13.6,15.1,12.4
146,39.3,34.7,28.8
147,33.1,26.6,24.3
148,25.7,24.6,24.3
149,19.4,20.9,18.1
151,34.7,31.5,27.6
152,29.7,25.1,24.4
153,23.7,23.7,24.5
154,19.4,21.3,19.6
156,33.2,30.1,26.4
157,28.8,24.4,23.5
158,23.4,23.5,24.3
159,19.4,21.2,19.4
161,34.3,30.8,26.5
162,29.1,24.2,22.9
163,23.1,22.7,23.1
164,18.3,19.9,18.0
166,31.8,27.6,22.6
167,26.1,20.5,18.5
168,19.7,18.7,18.5
169,13.9,15.3,12.8
171,24.7,20.6,15.5
172,19.5,13.8,11.5
173,13.3,11.8,11.0
174,7.1,8.2,5.6
176,18.8,14.8,9.9
177,13.7,8.1,5.6
178,7.8,5.8,4.8
179,1.6,2.2,-0.3
181,15.6,11.6,7.1
182,9.9,4.0,1.6
183,3.5,1.5,0.5
184,-3.1,-2.3,-4.6
186,19.9,15.7,10.2
187,14.3,8.0,5.5
188,7.6,5.9,5.3
189,0.9,2.0,-0.4
191,23.8,19.6,14.2
192,17.7,11.9,9.9
193,11.1,9.8,9.6
194,4.9,6.4,4.3
196,30.6,26.3,20.9
197,23.8,17.8,15.8
198,16.7,15.6,15.2
199,10.2,11.7,9.4
201,35.7,30.9,24.5
202,28.9,22.1,19.6
203,21.4,19.8,19.2
204,14.7,16.2,13.3
206,39.4,34.9,29.0
207,33.4,26.9,24.5
208,26.2,25.0,24.8
209,19.9,21.5,18.8
211,34.8,31.6,27.6
212,30.1,25.4,24.4
213,24.5,24.4,25.2
214,20.2,22.0,20.2
216,33.6,30.5,26.8
217,29.1,24.8,23.9
218,23.7,23.9,24.6
219,19.8,21.6,19.9
221,33.3,29.7,25.4
222,28.0,23.1,21.8
223,21.9,21.6,21.9
224,17.2,18.8,16.8
226,30.5,26.4,21.6
227,24.5,18.9,17.1
228,17.8,17.0,16.7
229,11.9,13.3,10.9
231,25.4,21.1,15.8
232,20.3,14.5,12.1
233,14.5,12.6,11.9
234,8.3,9.4,6.3
236,19.7,15.7,10.5
237,14.8,9.2,6.6
238,9.5,7.0,5.9
239,3.3,3.9,0.8
241,15.6,11.5,6.3
242,10.3,4.3,1.8
243,4.3,2.0,1.0
244,-2.2,-1.5,-4.1
246,14.7,10.6,5.1
247,8.9,2.8,0.4
248,2.2,0.5,-0.3
249,-4.3,-3.3,-5.8
251,20.3,16.0,10.8
252,13.8,8.1,6.1
253,7.1,5.8,5.4
254,0.8,2.3,-0.5
256,28.4,23.9,18.2
257,21.8,15.7,13.4
258,15.0,13.7,13.4
259,8.4,9.9,7.5
261,37.0,32.2,25.9
262,29.9,23.1,20.7
263,22.3,20.8,20.2
264,15.4,16.9,14.0
266,39.0,34.6,28.7
267,33.0,26.5,24.2
268,25.7,24.6,24.3
269,19.5,21.0,18.4
271,35.2,32.0,28.1
272,30.4,25.9,24.9
273,24.8,24.8,25.5
274,20.5,22.3,20.5
276,34.3,31.2,27.6
277,29.6,25.3,24.4
278,23.8,24.1,24.7
279,19.7,21.5,19.8
281,33.9,30.3,26.0
282,28.7,23.7,22.5
283,22.6,22.2,22.6
284,18.0,19.5,17.6
286,31.8,27.7,22.7
287,26.2,20.6,18.6
288,20.0,18.8,18.7
289,14.2,15.6,13.1
291,26.2,22.1,17.0
292,20.8,15.1,12.7
293,14.7,13.1,12.3
294,8.7,9.8,7.1
296,19.1,15.1,10.0
297,14.1,8.4,5.9
298,8.4,6.2,5.1
299,1.9,2.4,-0.2
301,15.6,11.4,6.2
302,10.3,4.3,1.8
303,3.9,2.0,1.2
304,-2.6,-1.9,-4.4
306,17.0,12.9,7.3
307,11.3,5.1,2.7
308,4.7,3.1,2.3
309,-1.7,-0.7,-3.2
311,22.4,18.2,12.8
312,16.6,10.5,8.5
313,10.0,8.6,8.5
314,3.8,5.2,2.9
316,29.3,25.1,19.6
317,22.6,16.7,14.6
318,15.4,14.3,14.2
319,8.8,10.4,8.2
321,37.4,32.7,26.4
322,30.2,23.6,21.2
323,22.6,21.2,20.6
324,15.8,17.4,14.7
326,38.6,34.0,28.1
327,32.8,26.2,23.8
328,25.7,24.4,24.3
329,19.5,21.1,18.5
331,35.3,32.1,28.2
332,30.6,26.0,25.0
333,24.7,24.8,25.6
334,20.5,22.3,20.6
336,34.1,31.2,27.5
337,29.6,25.3,24.4
338,24.3,24.4,25.2
339,20.3,22.0,20.3
341,33.2,29.6,25.3
342,28.1,23.0,21.8
343,22.0,21.7,22.1
344,17.3,19.0,17.1
346,31.8,27.8,22.8
347,26.0,20.5,18.6
348,19.6,18.5,18.3
349,14.0,15.2,12.8
351,26.4,22.3,17.2
352,21.1,15.3,13.0
353,15.0,13.4,12.5
354,8.8,9.8,7.2
356,20.7,16.8,11.7
357,16.0,10.3,7.7
358,10.3,8.1,7.0
359,4.2,4.8,2.2
361,19.4,15.4,10.2
362,14.0,8.0,5.5
363,7.6,5.5,4.3
364,1.1,1.8,-0.9
366,17.4,13.3,7.8
367,11.6,5.5,3.1
368,4.8,3.2,2.4
369,-1.7,-0.7,-3.2
371,21.5,17.3,11.9
372,15.4,9.5,7.4
373,8.7,7.3,7.1
374,2.5,3.9,1.5
376,29.2,24.7,19.0
377,22.8,16.7,14.4
378,16.1,14.7,14.5
379,9.7,11.2,8.9
381,34.2,29.6,23.3
382,27.3,20.6,18.1
383,19.7,18.2,17.7
384,13.0,14.5,11.8
386,37.5,33.0,27.2
387,31.1,24.8,22.5
388,23.9,22.6,22.4
389,17.4,19.1,16.6
391,35.3,32.1,28.2
392,30.4,25.7,24.9
393,24.5,24.6,25.4
394,20.3,22.1,20.4
396,33.0,30.1,26.4
397,28.8,24.3,23.4
398,23.5,23.6,24.4
399,19.6,21.4,19.8
401,33.6,30.1,25.8
402,28.3,23.5,22.3
403,22.1,21.8,22.1
404,17.4,19.0,17.1
406,31.1,27.2,22.2
407,24.9,19.7,17.9
408,18.3,17.4,17.0
409,12.0,13.5,11.4
411,25.6,21.6,16.6
412,20.2,14.4,12.4
413,13.9,12.3,11.5
414,7.6,8.7,6.1
416,18.6,14.7,9.6
417,14.0,8.2,5.6
418,8.0,5.7,4.6
419,1.7,2.3,-0.3
421,18.2,14.1,8.9
422,13.1,7.0,4.6
423,6.9,4.8,3.7
424,0.5,1.2,-1.5
426,19.1,15.1,9.6
427,13.1,7.1,4.8
428,6.1,4.4,3.5
429,-0.5,0.5,-2.1
431,23.9,19.7,14.5
432,17.3,11.7,9.8
433,10.5,9.2,8.8
434,3.5,5.0,2.8
436,30.9,26.6,21.0
437,24.1,18.2,16.0
438,17.2,15.9,15.6
439,10.4,11.9,9.8
441,35.6,30.9,24.6
442,28.7,22.0,19.5
443,21.2,19.7,19.2
444,14.3,15.8,13.3
446,39.2,34.7,28.9
447,32.8,26.5,24.3
448,25.6,24.4,24.1
449,19.2,20.7,18.2
451,35.0,31.7,27.8
452,30.5,25.7,24.7
453,25.1,25.0,25.9
454,21.1,22.8,21.1
456,32.6,29.6,25.9
457,28.3,24.0,23.0
458,23.1,23.1,24.0
459,19.1,20.8,19.3
461,32.7,29.1,24.8
462,27.6,22.7,21.4
463,21.7,21.4,21.9
464,17.1,18.8,16.9
466,30.1,26.1,21.2
467,24.1,18.8,17.0
468,17.7,16.7,16.4
469,11.6,13.0,10.7
471,25.0,20.9,15.7
472,20.1,14.1,11.8
473,14.1,12.4,11.7
474,7.9,8.9,6.3
476,18.7,14.8,9.6
477,14.1,8.3,5.7
478,8.4,6.2,5.2
479,2.3,2.9,0.4
481,15.9,11.7,6.5
482,10.3,4.4,1.9
483,4.1,1.9,0.9
484,-2.6,-1.9,-4.3
486,17.3,13.1,7.6
487,11.7,5.4,3.0
488,5.1,3.3,2.6
489,-1.3,-0.4,-2.8
491,24.2,20.0,14.7
492,18.1,12.3,10.3
493,11.4,10.1,10.0
494,5.0,6.6,4.3
496,30.2,25.8,19.9
497,23.9,17.8,15.5
498,17.4,15.9,15.7
499,11.1,12.6,10.1
501,35.7,31.0,24.6
502,29.0,22.2,19.8
503,21.5,20.1,19.6
504,14.8,16.3,13.7
506,38.7,34.0,28.1
507,32.6,26.1,23.7
508,25.5,24.2,24.1
509,19.2,20.7,17.9
511,33.9,30.7,26.8
512,29.4,24.7,23.7
513,23.8,23.8,24.5
514,19.5,21.5,19.7
516,33.6,30.6,26.8
517,29.4,25.0,24.1
518,23.9,24.2,25.1
519,20.0,21.8,20.5
521,32.3,28.8,24.5
522,27.4,22.5,21.2
523,21.5,21.2,21.6
524,16.6,18.2,16.6
526,30.9,26.9,21.8
527,25.3,19.7,17.8
528,18.7,17.9,17.8
529,12.9,14.3,12.1
531,26.9,22.8,17.5
532,21.8,16.1,13.8
533,15.9,14.2,13.5
534,9.7,10.8,8.2
536,19.2,15.2,10.1
537,14.5,8.8,6.3
538,9.0,6.7,5.7
539,2.9,3.5,1.2
541,17.1,13.0,7.7
542,12.1,6.1,3.6
543,6.1,3.9,2.9
544,-0.3,0.5,-1.8
546,19.2,15.0,9.5
547,13.5,7.3,4.8
