-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/ 0.5 x 0.5 Degree Climatologies 
22-year Additional Solar Parameter Monthly & Annual Climatologies (July 1983 - June 2005), 30-year Meteorological and Solar Monthly & Annual Climatologies (January 1984 - December 2013) 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
33.25,73.25,PRECTOT,    0.96,    1.88,    1.78,    1.39,    0.83,    1.68,    5.85,    5.23,    2.22,    0.60,    0.33,    0.77,    1.96
33.25,73.75,PRECTOT,    1.03,    1.97,    1.85,    1.50,    0.94,    1.77,    5.97,    5.30,    2.17,    0.64,    0.37,    0.81,    2.03
33.25,74.25,PRECTOT,    1.08,    2.10,    1.99,    1.67,    1.11,    1.75,    5.42,    4.90,    1.94,    0.68,    0.43,    0.85,    1.99
33.25,74.75,PRECTOT,    1.13,    2.23,    2.13,    1.82,    1.25,    1.74,    4.87,    4.51,    1.77,    0.71,    0.47,    0.88,    1.96
33.25,75.25,PRECTOT,    1.13,    2.28,    2.17,    1.87,    1.32,    1.71,    4.33,    4.10,    1.65,    0.71,    0.50,    0.87,    1.89
33.25,75.75,PRECTOT,    1.08,    2.17,    2.04,    1.77,    1.28,    1.62,    3.77,    3.62,    1.54,    0.67,    0.49,    0.82,    1.74
33.75,73.25,PRECTOT,    1.11,    2.28,    2.22,    1.79,    0.99,    1.79,    5.63,    5.33,    2.30,    0.67,    0.42,    0.90,    2.12
33.75,73.75,PRECTOT,    1.16,    2.35,    2.30,    1.97,    1.14,    1.80,    5.20,    4.85,    2.06,    0.70,    0.47,    0.94,    2.08
33.75,74.25,PRECTOT,    1.20,    2.44,    2.41,    2.16,    1.36,    1.65,    4.14,    3.90,    1.64,    0.72,    0.55,    0.97,    1.93
33.75,74.75,PRECTOT,    1.23,    2.52,    2.53,    2.32,    1.54,    1.56,    3.37,    3.26,    1.38,    0.74,    0.61,    0.99,    1.84
33.75,75.25,PRECTOT,    1.21,    2.46,    2.47,    2.30,    1.57,    1.45,    2.77,    2.76,    1.21,    0.73,    0.63,    0.97,    1.71
33.75,75.75,PRECTOT,    1.09,    2.17,    2.15,    2.01,    1.42,    1.29,    2.26,    2.30,    1.06,    0.67,    0.59,    0.88,    1.49
34.25,73.25,PRECTOT,    1.17,    2.57,    2.48,    2.09,    1.10,    1.75,    4.76,    4.65,    2.06,    0.72,    0.53,    0.98,    2.07
34.25,73.75,PRECTOT,    1.24,    2.67,    2.62,    2.34,    1.33,    1.79,    4.19,    4.12,    1.81,    0.73,    0.61,    1.05,    2.04
34.25,74.25,PRECTOT,    1.29,    2.75,    2.76,    2.54,    1.56,    1.61,    3.15,    3.14,    1.40,    0.75,    0.69,    1.07,    1.89
34.25,74.75,PRECTOT,    1.32,    2.78,    2.82,    2.63,    1.73,    1.47,    2.47,    2.54,    1.15,    0.76,    0.73,    1.08,    1.79
34.25,75.25,PRECTOT,    1.24,    2.54,    2.58,    2.44,    1.67,    1.31,    1.98,    2.09,    0.98,    0.73,    0.71,    1.02,    1.61
34.25,75.75,PRECTOT,    1.04,    2.02,    2.01,    1.93,    1.37,    1.09,    1.55,    1.67,    0.82,    0.63,    0.62,    0.86,    1.30
34.75,73.25,PRECTOT,    1.09,    2.49,    2.34,    2.06,    1.07,    1.47,    3.48,    3.41,    1.61,    0.69,    0.59,    0.93,    1.77
34.75,73.75,PRECTOT,    1.15,    2.47,    2.40,    2.22,    1.29,    1.55,    3.07,    3.10,    1.43,    0.68,    0.64,    0.99,    1.75
34.75,74.25,PRECTOT,    1.24,    2.64,    2.63,    2.46,    1.55,    1.45,    2.38,    2.46,    1.16,    0.70,    0.71,    1.04,    1.70
34.75,74.75,PRECTOT,    1.25,    2.61,    2.62,    2.47,    1.64,    1.34,    1.94,    2.06,    0.99,    0.70,    0.73,    1.03,    1.61
34.75,75.25,PRECTOT,    1.13,    2.27,    2.26,    2.15,    1.50,    1.16,    1.57,    1.70,    0.84,    0.65,    0.67,    0.93,    1.40
34.75,75.75,PRECTOT,    0.90,    1.68,    1.64,    1.60,    1.18,    0.93,    1.20,    1.32,    0.69,    0.55,    0.57,    0.76,    1.08
35.25,73.25,PRECTOT,    0.88,    1.93,    1.78,    1.63,    0.87,    1.03,    2.05,    1.95,    1.05,    0.57,    0.53,    0.76,    1.25
35.25,73.75,PRECTOT,    0.83,    1.69,    1.60,    1.55,    0.95,    1.07,    1.79,    1.79,    0.92,    0.51,    0.52,    0.74,    1.16
35.25,74.25,PRECTOT,    0.92,    1.83,    1.79,    1.75,    1.17,    1.07,    1.50,    1.55,    0.80,    0.53,    0.56,    0.79,    1.19
35.25,74.75,PRECTOT,    0.93,    1.82,    1.78,    1.76,    1.23,    1.03,    1.33,    1.41,    0.74,    0.53,    0.57,    0.78,    1.16
35.25,75.25,PRECTOT,    0.85,    1.61,    1.57,    1.56,    1.14,    0.93,    1.17,    1.25,    0.67,    0.50,    0.53,    0.72,    1.04
35.25,75.75,PRECTOT,    0.72,    1.26,    1.20,    1.24,    0.96,    0.79,    0.97,    1.05,    0.57,    0.44,    0.46,    0.61,    0.86
