-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
33.25,73.25,PRECTOT,1981,  129.94,   70.31,  138.25,   35.42,   48.11,   38.50,  360.80,  307.03,   30.15,    7.13,    8.91,    8.87, 1183.42
33.25,73.25,PRECTOT,1982,   33.33,  252.84,  192.07,  230.41,  107.13,   33.27,   98.98,  198.98,   18.48,   19.94,   19.93,   76.09, 1281.44
33.25,73.25,PRECTOT,1983,   52.49,   38.78,   99.93,  219.10,   46.41,   60.69,  165.22,  316.50,  119.92,   37.42,    1.77,    0.46, 1158.70
33.25,73.25,PRECTOT,1984,    2.31,   42.23,   60.02,   45.07,    5.73,   84.68,  203.75,  188.04,  166.59,    0.40,   19.58,   27.48,  845.86
33.25,73.25,PRECTOT,1985,   10.98,    5.20,   24.88,   78.11,   28.10,    7.71,  244.89,  193.08,    6.60,   25.73,    4.40,   71.39,  701.06
33.25,73.25,PRECTOT,1986,   10.24,   90.36,   93.83,   75.47,   31.15,   58.38,  114.75,  297.52,   66.45,   26.59,   38.00,   64.48,  967.21
33.25,73.25,PRECTOT,1987,    5.91,   80.78,   71.41,   14.49,  125.97,   18.71,   37.56,  111.37,   20.26,   35.34,    0.00,    0.98,  522.79
33.25,73.25,PRECTOT,1988,   22.21,   28.43,  114.19,   52.02,    5.89,   71.59,  260.76,  130.12,   58.61,   11.76,    2.97,   63.86,  822.42
33.25,73.25,PRECTOT,1989,   44.64,   10.21,   54.02,   23.51,   10.77,   36.53,  223.27,  178.76,   14.63,    5.46,    2.93,   42.15,  646.89
33.25,73.25,PRECTOT,1990,   31.15,   76.27,  130.41,   45.81,   21.23,   23.62,  173.06,  165.43,  132.41,   25.61,    3.53,   55.92,  884.44
33.25,73.25,PRECTOT,1991,    2.29,   23.18,   24.48,   49.80,    4.01,    5.70,  114.28,  124.50,  101.92,    3.19,    0.11,   23.96,  477.43
33.25,73.25,PRECTOT,1992,   83.66,   60.47,  122.65,   25.68,   38.50,   13.79,  152.44,  187.93,  184.77,   13.21,   38.83,    7.03,  928.96
33.25,73.25,PRECTOT,1993,   25.13,   40.09,   95.38,   18.77,   19.37,   51.55,  182.22,   82.61,   78.05,    0.15,    8.14,    0.00,  601.47
33.25,73.25,PRECTOT,1994,   25.16,   32.70,   26.58,   57.30,   28.47,   21.57,  281.40,  261.34,   44.57,   24.83,    0.60,   61.10,  865.64
33.25,73.25,PRECTOT,1995,   40.33,   73.82,   95.08,  101.84,   23.68,   22.60,  424.78,  269.15,   60.25,   37.01,   16.85,    8.21, 1173.60
33.25,73.25,PRECTOT,1996,   48.39,  106.59,   63.73,   16.21,   20.60,  110.91,   94.09,  256.16,   38.47,   76.87,    6.76,    3.48,  842.26
33.25,73.25,PRECTOT,1997,   31.73,   14.34,   37.31,   71.16,   17.37,   12.48,   50.67,   39.11,   14.42,    9.24,   15.17,    1.14,  314.14
33.25,73.25,PRECTOT,1998,    9.32,   31.14,   32.08,   17.68,   17.80,   40.01,  127.54,  104.79,   10.25,   10.85,    0.03,    2.57,  404.08
33.25,73.25,PRECTOT,1999,   56.01,   12.45,   20.69,    2.62,   18.83,    8.36,   81.29,   41.58,   43.83,    2.61,    7.28,    0.00,  295.54
33.25,73.25,PRECTOT,2000,   54.88,   33.41,    5.04,    2.78,   19.28,   23.38,   40.79,   57.08,   22.57,    1.91,    2.35,   21.02,  284.50
33.25,73.25,PRECTOT,2001,    1.24,    3.96,   10.70,   33.32,   43.94,  107.37,  147.54,   62.53,   41.89,   12.35,    6.71,    1.65,  473.20
33.25,73.25,PRECTOT,2002,   10.72,   27.48,   29.40,   20.17,    8.36,   72.86,   52.71,  107.09,   51.58,   16.25,   12.40,   14.02,  423.04
33.25,73.25,PRECTOT,2003,   11.76,   96.58,   43.34,   21.82,   15.60,   47.76,  207.76,  164.24,  129.02,    8.81,    3.89,   32.75,  783.33
33.25,73.25,PRECTOT,2004,   61.25,   16.89,    0.53,   42.24,    4.90,   34.81,  109.84,  122.39,   17.35,   50.29,    7.54,   17.93,  485.95
33.25,73.25,PRECTOT,2005,   42.05,  116.32,  137.81,   17.16,   27.63,    9.65,  180.80,  162.23,   46.77,   33.10,    5.15,    0.53,  779.19
33.25,73.25,PRECTOT,2006,   44.61,   28.83,   39.20,   19.47,   43.01,   58.58,  395.58,  305.69,   40.34,   23.59,   21.76,   83.27, 1103.94
33.25,73.25,PRECTOT,2007,    0.66,  110.62,  148.44,   12.99,   44.50,  122.85,  288.63,  217.05,   99.87,    0.07,   10.97,    3.14, 1059.79
33.25,73.25,PRECTOT,2008,   67.58,   17.07,    8.29,  118.33,   23.50,  180.70,  246.35,  137.33,   71.46,   25.74,   15.68,   40.24,  952.26
33.25,73.25,PRECTOT,2009,   41.60,   50.98,   38.63,   74.17,   36.99,   27.50,  125.12,  128.30,   33.79,    9.89,   10.63,    2.46,  580.08
33.25,73.25,PRECTOT,2010,   43.20,  105.35,   32.79,   30.33,   41.26,   51.97,  304.07,  185.42,   65.28,   15.70,   14.46,   17.73,  907.54
33.25,73.25,PRECTOT,2011,    7.08,   83.18,   24.23,   56.90,   16.22,   92.76,  209.83,  132.05,  132.97,   19.55,    4.05,    1.96,  780.78
33.25,73.25,PRECTOT,2012,   48.44,   32.13,   19.22,   53.34,   16.75,   13.08,  149.81,  265.61,   97.44,   10.99,    5.18,   41.98,  753.97
33.25,73.25,PRECTOT,2013,   10.70,  143.17,   46.59,   54.61,   15.36,   78.43,  217.42,  184.68,  109.76,   16.75,    9.53,    1.83,  888.83
33.25,73.25,PRECTOT,2014,    9.31,   16.16,  121.59,   29.19,   56.08,   34.76,  204.46,  140.69,  165.64,   44.14,    6.00,    0.00,  828.03
33.25,73.25,PRECTOT,2015,   22.72,   49.93,  181.06,  120.65,   23.04,   36.36,  237.95,  143.72,   83.17,   74.46,   19.47,   21.83, 1014.36
33.25,73.25,PRECTOT,2016,   19.29,   48.56,  116.05,   20.45,   69.87,   86.21,  304.86,  135.63,   58.63,    8.09,    0.76,    1.21,  869.63
33.25,73.25,PRECTOT,2017,  108.94,   25.10,   53.63,   93.91,   20.26,   95.40,  207.57,  201.34,   40.31,    1.36,   11.26,   28.81,  887.88
33.25,73.25,PRECTOT,2018,    0.07,    1.41,    1.08,    2.59,    1.64,    1.63,    7.72,    6.81,    1.34,    0.92,    0.74,    0.71,    2.24
33.25,73.25,PRECTOT,2019,    3.00,    3.53,    1.77,    1.96,    1.27,    1.52,    7.03,    3.95,    4.15,    0.78,    1.70,    0.70,    2.61
33.25,73.75,PRECTOT,1981,  137.67,   75.67,  141.91,   31.27,   56.92,   43.09,  356.52,  294.48,   24.55,    7.02,    9.07,    8.29, 1186.46
33.25,73.75,PRECTOT,1982,   43.88,  286.47,  219.07,  234.76,  102.80,   31.16,  120.69,  181.67,   21.49,   25.03,   19.42,   80.47, 1366.92
33.25,73.75,PRECTOT,1983,   52.08,   49.23,  128.02,  207.99,   54.81,   59.76,  175.97,  302.34,  124.29,   39.09,    2.26,    0.62, 1196.47
33.25,73.75,PRECTOT,1984,    3.81,   49.26,   61.94,   58.21,   11.28,   75.76,  200.17,  229.47,  143.55,    0.75,   19.53,   27.08,  880.82
33.25,73.75,PRECTOT,1985,   13.94,    7.25,   26.98,   80.44,   36.59,   11.23,  240.28,  166.78,    8.75,   36.40,    4.07,   71.20,  703.91
33.25,73.75,PRECTOT,1986,    9.80,   90.10,  100.62,   92.32,   28.56,   57.35,  131.38,  323.07,   66.42,   31.88,   43.35,   85.02, 1059.87
33.25,73.75,PRECTOT,1987,    7.55,   90.38,   64.82,   22.98,  145.11,   26.10,   44.38,  104.83,   26.81,   48.48,    0.00,    1.39,  582.84
33.25,73.75,PRECTOT,1988,   26.64,   39.37,  111.16,   70.94,    7.14,   69.25,  307.99,  137.67,   74.50,    9.21,    4.29,   63.56,  921.72
33.25,73.75,PRECTOT,1989,   41.89,   16.86,   54.39,   33.45,   18.44,   36.75,  235.56,  157.74,   11.32,   10.32,    5.53,   44.07,  666.33
33.25,73.75,PRECTOT,1990,   32.97,   73.92,  159.45,   43.83,   28.99,   27.72,  168.78,  165.58,  148.76,   24.46,    3.43,   52.41,  930.30
33.25,73.75,PRECTOT,1991,    2.87,   23.19,   18.87,   50.57,    2.74,    7.83,  125.67,  129.04,  102.75,    2.91,    0.23,   27.91,  494.57
33.25,73.75,PRECTOT,1992,   84.55,   61.67,  140.32,   29.43,   44.49,   18.05,  155.31,  193.49,  190.64,   12.72,   44.71,    5.64,  981.01
33.25,73.75,PRECTOT,1993,   28.22,   46.96,   98.45,   18.47,   17.24,   59.36,  210.31,   71.63,   81.79,    0.23,    9.82,    0.00,  642.48
33.25,73.75,PRECTOT,1994,   30.86,   37.69,   28.80,   60.47,   32.54,   23.24,  282.65,  258.30,   42.65,   25.02,    0.47,   70.38,  893.07
33.25,73.75,PRECTOT,1995,   46.55,   86.10,   96.79,   93.81,   24.05,   26.33,  423.49,  276.75,   46.33,   33.57,   19.16,   10.80, 1183.73
33.25,73.75,PRECTOT,1996,   50.29,  112.20,   74.03,   18.96,   31.19,  133.69,   94.06,  246.98,   30.88,   85.17,    8.18,    4.20,  889.82
33.25,73.75,PRECTOT,1997,   34.19,   15.36,   40.10,   66.80,   19.58,   15.72,   61.47,   68.14,   13.41,    6.43,    9.51,    2.38,  353.07
33.25,73.75,PRECTOT,1998,    7.24,   28.61,   22.67,   27.53,   19.70,   39.72,  107.54,  105.69,   12.57,   14.25,    0.06,    0.53,  386.11
33.25,73.75,PRECTOT,1999,   58.89,    9.83,   20.35,    1.70,   15.57,   11.06,   75.56,   34.26,   41.92,    1.85,   10.55,    0.00,  281.53
33.25,73.75,PRECTOT,2000,   57.63,   39.21,    7.73,    4.90,   25.71,   24.85,   45.02,   76.95,   27.46,    1.27,    3.35,   15.93,  330.01
33.25,73.75,PRECTOT,2001,    3.04,    7.54,   14.68,   30.14,   56.62,  126.22,  167.69,   64.05,   50.61,   12.20,    7.57,    3.43,  543.78
33.25,73.75,PRECTOT,2002,   13.91,   21.40,   26.23,   25.30,    9.14,   74.54,   58.25,  138.00,   56.80,   13.42,   14.12,    8.45,  459.56
33.25,73.75,PRECTOT,2003,   14.38,  119.24,   56.68,   26.85,   16.42,   49.07,  212.11,  197.35,  142.93,    9.01,    5.58,   40.48,  890.12
33.25,73.75,PRECTOT,2004,   62.23,   18.27,    1.24,   56.19,    6.54,   38.94,  121.21,  137.63,   14.78,   51.86,    6.15,   20.30,  535.33
33.25,73.75,PRECTOT,2005,   44.24,  111.38,  122.14,   18.92,   30.11,   10.03,  178.43,  144.49,   40.02,   34.69,    3.96,    0.18,  738.60
33.25,73.75,PRECTOT,2006,   55.07,   24.69,   34.43,   20.15,   37.48,   69.65,  400.82,  326.44,   47.97,   26.68,   23.66,   73.55, 1140.59
33.25,73.75,PRECTOT,2007,    1.12,  104.75,  166.60,    8.87,   40.46,  109.55,  248.55,  194.90,   77.15,    0.10,    9.17,    3.90,  965.11
33.25,73.75,PRECTOT,2008,   65.32,   22.60,    8.43,  109.11,   25.88,  176.85,  231.00,  123.82,   71.56,   31.84,   18.25,   44.86,  929.51
33.25,73.75,PRECTOT,2009,   48.49,   53.94,   38.69,   71.61,   32.10,   34.43,  136.28,  119.90,   35.80,    4.66,   15.63,    3.57,  595.11
33.25,73.75,PRECTOT,2010,   31.61,  103.57,   33.41,   35.21,   59.31,   57.98,  320.82,  208.43,   60.11,   19.97,   17.93,   20.20,  968.54
