LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
33.25,73.25,T2M,1981,   10.62,   12.74,   16.20,   24.19,   31.18,   34.96,   31.58,   28.57,   26.56,   22.14,   16.57,   12.85,   22.39
33.25,73.25,T2M,1982,   11.21,    9.88,   14.06,   21.36,   24.77,   31.17,   33.89,   30.56,   28.98,   24.35,   17.60,   11.31,   21.66
33.25,73.25,T2M,1983,   10.05,   12.14,   15.28,   19.87,   26.62,   31.63,   32.00,   29.66,   27.12,   21.56,   16.69,   12.19,   21.28
33.25,73.25,T2M,1984,   10.27,   10.61,   20.40,   24.79,   33.59,   36.05,   31.14,   29.16,   25.49,   21.59,   16.30,   10.95,   22.56
33.25,73.25,T2M,1985,    9.81,   14.22,   21.22,   25.08,   31.27,   35.73,   31.19,   29.34,   28.83,   22.36,   17.80,   12.83,   23.34
33.25,73.25,T2M,1986,    9.81,   11.87,   15.74,   23.13,   28.68,   34.23,   31.71,   28.72,   27.26,   22.59,   17.46,   11.14,   21.90
33.25,73.25,T2M,1987,   11.61,   13.94,   17.85,   24.41,   26.51,   33.62,   35.72,   33.13,   30.60,   23.56,   18.92,   14.43,   23.74
33.25,73.25,T2M,1988,   12.71,   14.57,   17.34,   26.04,   33.37,   35.13,   31.14,   29.08,   28.39,   23.26,   18.41,   14.14,   23.64
33.25,73.25,T2M,1989,    9.78,   11.88,   17.64,   23.02,   31.14,   34.31,   32.44,   28.57,   28.23,   23.77,   17.60,   13.05,   22.67
33.25,73.25,T2M,1990,   12.57,   12.51,   16.37,   22.71,   31.81,   35.88,   32.27,   30.57,   27.82,   22.28,   18.07,   12.52,   23.00
33.25,73.25,T2M,1991,   10.51,   12.92,   18.69,   23.02,   30.92,   35.58,   34.56,   31.10,   28.03,   22.28,   17.44,   13.97,   23.31
33.25,73.25,T2M,1992,   11.37,   11.86,   15.83,   22.16,   27.92,   34.54,   31.81,   29.56,   25.86,   22.34,   16.81,   13.61,   22.00
33.25,73.25,T2M,1993,    9.67,   15.35,   15.85,   24.73,   32.16,   34.28,   31.36,   31.30,   28.32,   23.68,   18.74,   14.44,   23.35
33.25,73.25,T2M,1994,   12.02,   12.33,   19.99,   22.68,   31.37,   35.84,   31.81,   28.67,   25.62,   21.78,   18.16,   11.96,   22.74
33.25,73.25,T2M,1995,    9.86,   12.61,   16.88,   21.27,   29.39,   35.20,   31.48,   27.86,   25.78,   22.06,   16.34,   11.94,   21.77
33.25,73.25,T2M,1996,   10.21,   13.70,   18.12,   24.86,   29.74,   32.92,   32.35,   29.22,   27.60,   21.44,   15.83,   12.85,   22.42
33.25,73.25,T2M,1997,   11.34,   13.08,   18.17,   23.01,   28.41,   34.42,   35.85,   32.31,   30.27,   22.63,   16.85,   11.67,   23.22
33.25,73.25,T2M,1998,   10.84,   13.58,   16.72,   26.47,   31.87,   33.85,   33.61,   31.99,   30.81,   24.98,   19.21,   15.41,   24.16
33.25,73.25,T2M,1999,   11.24,   14.96,   19.15,   27.83,   32.57,   35.45,   34.67,   33.39,   31.11,   25.31,   19.01,   14.89,   25.01
33.25,73.25,T2M,2000,   11.81,   11.56,   18.02,   28.44,   34.40,   34.94,   33.98,   33.04,   30.03,   25.90,   18.55,   13.89,   24.58
33.25,73.25,T2M,2001,   11.20,   15.12,   20.77,   25.64,   33.16,   32.43,   31.55,   30.94,   28.73,   25.21,   18.97,   14.60,   24.07
33.25,73.25,T2M,2002,   12.86,   13.93,   20.20,   26.81,   33.61,   34.59,   35.37,   32.47,   27.55,   24.54,   19.09,   13.63,   24.61
33.25,73.25,T2M,2003,   12.07,   13.65,   17.61,   25.35,   30.14,   35.21,   31.29,   29.31,   27.61,   22.55,   16.28,   13.40,   22.91
33.25,73.25,T2M,2004,   11.06,   14.61,   23.03,   28.19,   32.27,   34.65,   33.77,   30.70,   29.60,   22.32,   18.51,   14.23,   24.43
33.25,73.25,T2M,2005,    9.77,   11.12,   17.94,   22.47,   27.70,   35.70,   31.59,   30.66,   29.05,   23.53,   17.04,   13.00,   22.52
33.25,73.25,T2M,2006,   10.28,   17.12,   18.17,   25.24,   33.70,   33.10,   30.81,   27.73,   26.13,   23.50,   17.10,   11.28,   22.87
33.25,73.25,T2M,2007,   10.70,   12.95,   16.26,   26.03,   30.59,   34.09,   31.08,   28.96,   26.73,   22.35,   18.41,   11.89,   22.54
33.25,73.25,T2M,2008,    8.86,   11.91,   22.05,   23.23,   30.96,   32.78,   30.37,   28.75,   27.11,   24.15,   18.38,   14.17,   22.76
33.25,73.25,T2M,2009,   12.32,   13.79,   18.99,   23.07,   30.16,   33.69,   33.62,   31.05,   28.81,   23.99,   17.64,   13.63,   23.45
33.25,73.25,T2M,2010,   13.11,   13.17,   21.45,   27.55,   31.29,   33.31,   31.51,   28.31,   26.02,   23.81,   18.16,   12.68,   23.42
33.25,73.25,T2M,2011,   10.68,   12.16,   19.06,   23.49,   33.00,   33.70,   30.66,   29.13,   26.92,   23.04,   18.48,   12.97,   22.83
33.25,73.25,T2M,2012,    9.38,   10.35,   17.40,   23.99,   29.94,   35.26,   33.25,   30.01,   26.32,   21.79,   16.91,   12.49,   22.29
33.25,73.25,T2M,2013,    9.60,   12.36,   18.27,   23.25,   30.36,   34.28,   31.83,   28.74,   26.51,   23.79,   16.46,   13.09,   22.43
33.25,73.25,T2M,2014,   11.71,   12.39,   16.84,   22.71,   28.72,   34.98,   32.59,   30.19,   26.48,   22.59,   16.90,   12.53,   22.44
33.25,73.25,T2M,2015,   11.40,   14.48,   16.76,   23.17,   29.41,   33.06,   31.70,   29.95,   27.92,   23.04,   16.59,   12.84,   22.56
