DATE,POTENTIAL EVAPOTRANSPIRATION
31-01-1901,12.9
28-02-1901,17.6
31-03-1901,28.2
30-04-1901,39.6
31-05-1901,50.7
30-06-1901,57.4
31-07-1901,51.8
31-08-1901,45.9
30-09-1901,41.3
31-10-1901,28.5
30-11-1901,17.9
31-12-1901,12.9
31-01-1902,13.4
28-02-1902,17.7
31-03-1902,27.3
30-04-1902,38.9
31-05-1902,52.6
30-06-1902,59.9
31-07-1902,51.4
31-08-1902,46.3
30-09-1902,41.2
31-10-1902,28.4
30-11-1902,17
31-12-1902,12.6
31-01-1903,12.1
28-02-1903,17.1
31-03-1903,24.2
30-04-1903,37.2
31-05-1903,50.2
30-06-1903,59.6
31-07-1903,50.6
31-08-1903,45.2
30-09-1903,41.6
31-10-1903,29
30-11-1903,17
31-12-1903,12.7
31-01-1904,11.8
29-02-1904,18.3
31-03-1904,27.3
30-04-1904,39.3
31-05-1904,50.9
30-06-1904,60
31-07-1904,52.5
31-08-1904,46.3
30-09-1904,40.6
31-10-1904,27.8
30-11-1904,17.6
31-12-1904,12.9
31-01-1905,12.3
28-02-1905,14.7
31-03-1905,23.6
30-04-1905,38
31-05-1905,51.6
30-06-1905,59.4
31-07-1905,51.1
31-08-1905,45.8
30-09-1905,41.3
31-10-1905,29.1
30-11-1905,17.8
31-12-1905,12.7
31-01-1906,12
28-02-1906,16.9
31-03-1906,26.8
30-04-1906,38.9
31-05-1906,52
30-06-1906,59.4
31-07-1906,51.9
31-08-1906,46.3
30-09-1906,40.8
31-10-1906,29
30-11-1906,17.8
31-12-1906,12.9
31-01-1907,13.3
28-02-1907,16.9
31-03-1907,25.7
30-04-1907,39.1
31-05-1907,49.7
30-06-1907,57.2
31-07-1907,52.4
31-08-1907,45.6
30-09-1907,40.4
31-10-1907,27.3
30-11-1907,16.9
31-12-1907,12.8
31-01-1908,13
29-02-1908,17.2
31-03-1908,26.1
30-04-1908,39.5
31-05-1908,50.6
30-06-1908,59.6
31-07-1908,52.7
31-08-1908,45.5
30-09-1908,40.7
31-10-1908,27.8
30-11-1908,17.2
31-12-1908,12.7
31-01-1909,12.3
28-02-1909,16.7
31-03-1909,27.2
30-04-1909,40.5
31-05-1909,51.7
30-06-1909,59.7
31-07-1909,50.8
31-08-1909,46.7
30-09-1909,40.5
31-10-1909,28.5
30-11-1909,18.2
31-12-1909,13
31-01-1910,12.9
28-02-1910,18.1
31-03-1910,26
30-04-1910,39.2
31-05-1910,52.7
30-06-1910,59.3
31-07-1910,52.1
31-08-1910,46.5
30-09-1910,40.8
31-10-1910,28.2
30-11-1910,17
31-12-1910,11.7
31-01-1911,12.6
28-02-1911,17.7
31-03-1911,25.7
30-04-1911,39.2
31-05-1911,52.4
30-06-1911,60.6
31-07-1911,52.3
31-08-1911,46.2
30-09-1911,41.2
31-10-1911,28.7
30-11-1911,16.4
31-12-1911,12.5
31-01-1912,12.6
29-02-1912,18.4
31-03-1912,26.6
30-04-1912,41.1
31-05-1912,51.7
30-06-1912,59.9
31-07-1912,53.6
31-08-1912,45.7
30-09-1912,39.8
31-10-1912,29.1
30-11-1912,17
31-12-1912,12.8
31-01-1913,13.1
28-02-1913,17.2
31-03-1913,25.4
30-04-1913,39
31-05-1913,52
30-06-1913,59.5
31-07-1913,53.2
31-08-1913,45.5
30-09-1913,41.1
31-10-1913,28.4
30-11-1913,16.8
31-12-1913,12.7
31-01-1914,13.7
28-02-1914,17.8
31-03-1914,26.7
30-04-1914,40.3
31-05-1914,52.1
30-06-1914,62.7
31-07-1914,54.1
31-08-1914,45.5
30-09-1914,43.1
31-10-1914,27.9
30-11-1914,17
31-12-1914,12.3
31-01-1915,12.9
28-02-1915,16.6
31-03-1915,28.7
30-04-1915,40.1
31-05-1915,55.8
30-06-1915,61.6
31-07-1915,52.3
31-08-1915,47.7
30-09-1915,43.7
31-10-1915,29.9
30-11-1915,18
31-12-1915,13.2
31-01-1916,13.2
29-02-1916,17
31-03-1916,29
30-04-1916,41.8
31-05-1916,51.7
30-06-1916,58.9
31-07-1916,52.7
31-08-1916,47.4
30-09-1916,41.2
31-10-1916,29
30-11-1916,16.5
31-12-1916,12.6
31-01-1917,13.6
28-02-1917,19.3
31-03-1917,27.8
30-04-1917,40.1
31-05-1917,52.8
30-06-1917,60.4
31-07-1917,52.5
31-08-1917,46
30-09-1917,41.1
31-10-1917,28.2
30-11-1917,16.7
31-12-1917,12.9
31-01-1918,12.5
28-02-1918,17.8
31-03-1918,26.8
30-04-1918,38.6
31-05-1918,54.2
30-06-1918,60.9
31-07-1918,53.6
31-08-1918,47.7
30-09-1918,41.5
31-10-1918,29
30-11-1918,16.6
31-12-1918,11.8
31-01-1919,11.9
28-02-1919,16.6
31-03-1919,26.2
30-04-1919,39.6
31-05-1919,51.6
30-06-1919,59.9
31-07-1919,51.3
31-08-1919,46.2
30-09-1919,40
31-10-1919,29
30-11-1919,16.9
31-12-1919,12.7
31-01-1920,13
29-02-1920,16.6
31-03-1920,26.4
30-04-1920,38
31-05-1920,48.3
30-06-1920,57.8
31-07-1920,50.7
31-08-1920,46.3
30-09-1920,40.6
31-10-1920,29.1
30-11-1920,16.9
31-12-1920,12
31-01-1921,12.8
28-02-1921,16
31-03-1921,28.3
30-04-1921,41.3
31-05-1921,52.2
30-06-1921,58.4
31-07-1921,52.2
31-08-1921,45.6
30-09-1921,40.5
31-10-1921,28.4
30-11-1921,17
31-12-1921,12.8
31-01-1922,12.9
28-02-1922,18.3
31-03-1922,27.3
30-04-1922,40
31-05-1922,51.2
30-06-1922,59.1
31-07-1922,51.1
31-08-1922,45.9
30-09-1922,40.9
31-10-1922,28.3
30-11-1922,17.1
31-12-1922,12.8
31-01-1923,13
28-02-1923,17.7
31-03-1923,27.3
30-04-1923,39.6
31-05-1923,51
30-06-1923,58.2
31-07-1923,50.6
31-08-1923,44.7
30-09-1923,39.6
31-10-1923,27.9
30-11-1923,16.8
31-12-1923,12.4
31-01-1924,12.8
29-02-1924,18
31-03-1924,27.3
30-04-1924,40.1
31-05-1924,48.5
30-06-1924,59.1
31-07-1924,52.4
31-08-1924,45.6
30-09-1924,40.3
31-10-1924,29
30-11-1924,16.9
31-12-1924,12.9
31-01-1925,12.4
28-02-1925,16.5
31-03-1925,28.4
30-04-1925,41
31-05-1925,52.9
30-06-1925,60
31-07-1925,52.7
31-08-1925,46.7
30-09-1925,41.9
31-10-1925,29
30-11-1925,16.7
31-12-1925,12.9
31-01-1926,13
28-02-1926,18.3
31-03-1926,27
30-04-1926,37.4
31-05-1926,50.7
30-06-1926,58.9
31-07-1926,51.9
31-08-1926,47.1
30-09-1926,41.4
31-10-1926,28.3
30-11-1926,15.9
31-12-1926,12.8
31-01-1927,12
28-02-1927,16.9
31-03-1927,26.2
30-04-1927,39.8
31-05-1927,51
30-06-1927,59.5
31-07-1927,52.2
31-08-1927,45.7
30-09-1927,40.7
31-10-1927,29.1
30-11-1927,17
31-12-1927,12.8
31-01-1928,12.2
29-02-1928,17.3
31-03-1928,25.9
30-04-1928,39.1
31-05-1928,52.1
30-06-1928,59.3
31-07-1928,50.4
31-08-1928,44.7
30-09-1928,39.8
31-10-1928,29
30-11-1928,17.2
31-12-1928,12.5
31-01-1929,11.9
28-02-1929,16.6
31-03-1929,28.4
30-04-1929,42.3
31-05-1929,51.7
30-06-1929,59
31-07-1929,50
31-08-1929,45.7
30-09-1929,41.7
31-10-1929,28.3
30-11-1929,17
31-12-1929,11.2
31-01-1930,11.4
28-02-1930,16.1
31-03-1930,27.3
30-04-1930,38
31-05-1930,51.7
30-06-1930,58.3
31-07-1930,51.7
31-08-1930,45.5
30-09-1930,39.4
31-10-1930,28.1
30-11-1930,17.5
31-12-1930,12.7
31-01-1931,13.1
28-02-1931,16.2
31-03-1931,28.8
30-04-1931,42.7
31-05-1931,51.1
30-06-1931,61.4
31-07-1931,50.7
31-08-1931,46.4
30-09-1931,41.5
31-10-1931,29.2
30-11-1931,16.9
31-12-1931,12.5
31-01-1932,12.9
29-02-1932,17.2
31-03-1932,28.4
30-04-1932,43.5
31-05-1932,51.3
30-06-1932,61.7
31-07-1932,52.8
31-08-1932,45.7
30-09-1932,43.5
31-10-1932,29.4
30-11-1932,17.5
31-12-1932,12.3
31-01-1933,11.6
28-02-1933,18.3
31-03-1933,27.6
30-04-1933,38.7
31-05-1933,51.6
30-06-1933,61.2
31-07-1933,53.3
31-08-1933,43.6
30-09-1933,39.8
31-10-1933,29.1
30-11-1933,17.5
31-12-1933,12.9
31-01-1934,11.8
28-02-1934,19.3
31-03-1934,27.3
30-04-1934,41.1
31-05-1934,50.1
30-06-1934,60.3
31-07-1934,52
31-08-1934,46.5
30-09-1934,43.4
31-10-1934,29.8
30-11-1934,17
31-12-1934,12.9
31-01-1935,11.8
28-02-1935,17.3
31-03-1935,28.3
30-04-1935,37.5
31-05-1935,53.8
30-06-1935,62.6
31-07-1935,53
31-08-1935,46.5
30-09-1935,41.9
31-10-1935,29
30-11-1935,17
31-12-1935,12.8
31-01-1936,12.7
29-02-1936,18.8
31-03-1936,26.8
30-04-1936,41.3
31-05-1936,57.5
30-06-1936,59
31-07-1936,52.2
31-08-1936,47.3
30-09-1936,42.7
31-10-1936,30.2
30-11-1936,17.5
31-12-1936,12.8
31-01-1937,12.6
28-02-1937,17.8
31-03-1937,27.5
30-04-1937,39.9
31-05-1937,52.7
30-06-1937,63
31-07-1937,52.7
31-08-1937,49.6
30-09-1937,43.3
31-10-1937,28.2
30-11-1937,17.1
31-12-1937,12.2
31-01-1938,11.4
28-02-1938,15.4
31-03-1938,27.6
30-04-1938,43.6
31-05-1938,58.2
30-06-1938,56.9
31-07-1938,55.3
31-08-1938,49.9
30-09-1938,43.8
31-10-1938,30.1
30-11-1938,16.7
31-12-1938,12.7
31-01-1939,12.3
28-02-1939,17.2
31-03-1939,24.3
30-04-1939,39.7
31-05-1939,56.4
30-06-1939,60
31-07-1939,54.2
31-08-1939,49.2
30-09-1939,44
31-10-1939,29.5
30-11-1939,17.7
31-12-1939,13.5
31-01-1940,13.1
29-02-1940,17.7
31-03-1940,27.7
30-04-1940,41.2
31-05-1940,54.3
30-06-1940,60.8
31-07-1940,54.5
31-08-1940,46.7
30-09-1940,42
31-10-1940,29.7
30-11-1940,18
31-12-1940,12.9
31-01-1941,12.3
28-02-1941,18.2
31-03-1941,30.1
30-04-1941,43.7
31-05-1941,55.3
30-06-1941,60.2
31-07-1941,54.8
31-08-1941,49.4
30-09-1941,42
31-10-1941,31.2
30-11-1941,17.8
31-12-1941,12.9
31-01-1942,11.9
28-02-1942,17.1
31-03-1942,30.2
30-04-1942,44.2
31-05-1942,52.2
30-06-1942,59
31-07-1942,51.2
31-08-1942,46.2
30-09-1942,41.4
31-10-1942,29.3
30-11-1942,18
31-12-1942,12.6
31-01-1943,12.5
28-02-1943,18.3
31-03-1943,28.9
30-04-1943,41
31-05-1943,50.5
30-06-1943,59.9
31-07-1943,53.2
31-08-1943,47.7
30-09-1943,43.3
31-10-1943,29.6
30-11-1943,17.7
31-12-1943,13
31-01-1944,12
29-02-1944,16.8
31-03-1944,29.2
30-04-1944,40.2
31-05-1944,56.3
30-06-1944,61.8
31-07-1944,55
31-08-1944,47.5
30-09-1944,41.7
31-10-1944,29
30-11-1944,17.3
31-12-1944,13.2
31-01-1945,11.6
28-02-1945,17.1
31-03-1945,28.8
30-04-1945,39.1
31-05-1945,51.6
30-06-1945,61.6
31-07-1945,52.2
31-08-1945,47.2
30-09-1945,41.5
31-10-1945,29.4
30-11-1945,17.7
31-12-1945,12.5
31-01-1946,13.1
28-02-1946,19.4
31-03-1946,28.3
30-04-1946,47
31-05-1946,55.8
30-06-1946,59.5
31-07-1946,55
31-08-1946,47.7
30-09-1946,45.1
31-10-1946,30.3
30-11-1946,17.4
31-12-1946,12.4
31-01-1947,11.6
28-02-1947,17.4
31-03-1947,31
30-04-1947,46.1
31-05-1947,55.8
30-06-1947,62.7
31-07-1947,56
31-08-1947,47.7
30-09-1947,42.9
31-10-1947,28.9
30-11-1947,18.2
31-12-1947,13.2
31-01-1948,12.6
29-02-1948,17.3
31-03-1948,26.4
30-04-1948,40.4
31-05-1948,55
30-06-1948,58.8
31-07-1948,53
31-08-1948,45.2
30-09-1948,42.3
31-10-1948,29.5
30-11-1948,17
31-12-1948,12.8
31-01-1949,13.4
28-02-1949,16.4
31-03-1949,27.1
30-04-1949,44.1
31-05-1949,55.2
30-06-1949,56.4
31-07-1949,52.8
31-08-1949,45.6
30-09-1949,43.5
31-10-1949,29
30-11-1949,16.7
31-12-1949,12.8
31-01-1950,12.9
28-02-1950,16.5
31-03-1950,25.7
30-04-1950,39.3
31-05-1950,52.9
30-06-1950,59.7
31-07-1950,51.7
31-08-1950,46.7
30-09-1950,39.9
31-10-1950,28.6
30-11-1950,17
31-12-1950,12.1
31-01-1951,12.6
28-02-1951,17.7
31-03-1951,28.3
30-04-1951,38.1
31-05-1951,50.7
30-06-1951,59.2
31-07-1951,54.6
31-08-1951,47.8
30-09-1951,44.6
31-10-1951,30.1
30-11-1951,18.1
31-12-1951,13.7
31-01-1952,12.6
29-02-1952,17.9
31-03-1952,26.3
30-04-1952,42.9
31-05-1952,53.8
30-06-1952,60.3
31-07-1952,50.4
31-08-1952,44.9
30-09-1952,43.6
31-10-1952,30.1
30-11-1952,17.6
31-12-1952,13
31-01-1953,12.2
28-02-1953,19.1
31-03-1953,30.3
30-04-1953,41.6
31-05-1953,53.2
30-06-1953,58.6
31-07-1953,52.8
31-08-1953,44.6
30-09-1953,40.9
31-10-1953,29.1
30-11-1953,17.1
31-12-1953,13.6
31-01-1954,11.5
28-02-1954,17.1
31-03-1954,27.4
30-04-1954,41.2
31-05-1954,55.3
30-06-1954,59.6
31-07-1954,50.7
31-08-1954,47.4
30-09-1954,41
31-10-1954,27.4
30-11-1954,17.1
31-12-1954,13.1
31-01-1955,12.8
28-02-1955,19.5
31-03-1955,28
30-04-1955,40.7
31-05-1955,46.8
30-06-1955,59.8
31-07-1955,53
31-08-1955,45
30-09-1955,40.3
31-10-1955,27.9
30-11-1955,17.8
31-12-1955,12.9
31-01-1956,12.4
29-02-1956,18.6
31-03-1956,26
30-04-1956,41.2
31-05-1956,57.7
30-06-1956,57.9
31-07-1956,49.3
31-08-1956,43.5
30-09-1956,42.3
31-10-1956,27.4
30-11-1956,17.7
31-12-1956,13.4
31-01-1957,12.6
28-02-1957,16.9
31-03-1957,26
30-04-1957,36.7
31-05-1957,46.5
30-06-1957,56.3
31-07-1957,53.4
31-08-1957,44.5
30-09-1957,42
31-10-1957,28
30-11-1957,16.8
31-12-1957,12.3
31-01-1958,13.1
28-02-1958,18.3
31-03-1958,28.9
30-04-1958,42.3
31-05-1958,50.6
30-06-1958,59.9
31-07-1958,51.6
31-08-1958,45.6
30-09-1958,39.7
31-10-1958,28.6
30-11-1958,17.6
31-12-1958,12.7
31-01-1959,12
28-02-1959,16.7
31-03-1959,28.1
30-04-1959,41.2
31-05-1959,49.4
30-06-1959,60.6
31-07-1959,50.1
31-08-1959,45.6
30-09-1959,41.3
31-10-1959,29.6
30-11-1959,16.7
31-12-1959,13.1
31-01-1960,12.6
29-02-1960,19.9
31-03-1960,26.5
30-04-1960,38.3
31-05-1960,52.9
30-06-1960,61.7
31-07-1960,51.7
31-08-1960,47.7
30-09-1960,42
31-10-1960,29.5
30-11-1960,16.7
31-12-1960,12.9
31-01-1961,13.3
28-02-1961,16.7
31-03-1961,28.6
30-04-1961,40.4
31-05-1961,52.6
30-06-1961,59.9
31-07-1961,52.3
31-08-1961,46
30-09-1961,41.2
31-10-1961,28.6
30-11-1961,16.8
31-12-1961,12.4
31-01-1962,12.8
28-02-1962,18.2
31-03-1962,27.6
30-04-1962,40.1
31-05-1962,51
30-06-1962,60.5
31-07-1962,51.6
31-08-1962,46.1
30-09-1962,39.1
31-10-1962,28.4
30-11-1962,16.8
31-12-1962,12.8
31-01-1963,13.5
28-02-1963,19
31-03-1963,27.5
30-04-1963,37.8
31-05-1963,48.1
30-06-1963,60.2
31-07-1963,53.2
31-08-1963,45.8
30-09-1963,41.3
31-10-1963,29.5
30-11-1963,17.2
31-12-1963,13
31-01-1964,12.1
29-02-1964,16.5
31-03-1964,28.9
30-04-1964,39.1
31-05-1964,49.6
30-06-1964,57.8
31-07-1964,49.1
31-08-1964,45.4
30-09-1964,40.6
31-10-1964,29.2
30-11-1964,17.2
31-12-1964,13
31-01-1965,13.2
28-02-1965,17
31-03-1965,27.7
30-04-1965,35.3
31-05-1965,48.9
30-06-1965,60.5
31-07-1965,50.4
31-08-1965,44.8
30-09-1965,42.6
31-10-1965,29
30-11-1965,17.6
31-12-1965,12.8
31-01-1966,13.8
28-02-1966,18.3
31-03-1966,26.4
30-04-1966,38.1
31-05-1966,52.3
30-06-1966,59
31-07-1966,51.1
31-08-1966,45
30-09-1966,39
31-10-1966,27.1
30-11-1966,17.1
31-12-1966,12.5
31-01-1967,12.7
28-02-1967,19.3
31-03-1967,26.8
30-04-1967,38.6
31-05-1967,49.5
30-06-1967,60.6
31-07-1967,51.8
31-08-1967,45.1
30-09-1967,41
31-10-1967,27.2
30-11-1967,16.5
31-12-1967,12.1
31-01-1968,11.4
29-02-1968,15.8
31-03-1968,27.2
30-04-1968,40.1
31-05-1968,47.5
30-06-1968,59.6
31-07-1968,52.1
31-08-1968,45.7
30-09-1968,43.9
31-10-1968,27.7
30-11-1968,16.9
31-12-1968,11.3
31-01-1969,12.9
28-02-1969,17.9
31-03-1969,29.7
30-04-1969,37.8
31-05-1969,47.9
30-06-1969,59.6
31-07-1969,51.3
31-08-1969,44.9
30-09-1969,40.7
31-10-1969,28.4
30-11-1969,17.3
31-12-1969,12.6
31-01-1970,12.8
28-02-1970,18.3
31-03-1970,27.9
30-04-1970,42.5
31-05-1970,55.4
30-06-1970,59.1
31-07-1970,53.3
31-08-1970,46.3
30-09-1970,41.1
31-10-1970,29.5
30-11-1970,17.6
31-12-1970,13.1
31-01-1971,13.2
28-02-1971,18.7
31-03-1971,29.5
30-04-1971,42.7
31-05-1971,52.6
30-06-1971,56
31-07-1971,50.7
31-08-1971,45.3
30-09-1971,40.9
31-10-1971,29.2
30-11-1971,17.8
31-12-1971,13.7
31-01-1972,13.7
29-02-1972,16.7
31-03-1972,27.5
30-04-1972,40.1
31-05-1972,51
30-06-1972,59.2
31-07-1972,51.4
31-08-1972,44.7
30-09-1972,40.5
31-10-1972,28.2
30-11-1972,17.8
31-12-1972,12.9
31-01-1973,13.2
28-02-1973,18.3
31-03-1973,26.1
30-04-1973,41.2
31-05-1973,51.4
30-06-1973,59.3
31-07-1973,49.6
31-08-1973,43.5
30-09-1973,41.4
31-10-1973,28.8
30-11-1973,17.6
31-12-1973,13
31-01-1974,13
28-02-1974,16.5
31-03-1974,29.4
30-04-1974,43.1
31-05-1974,51.8
30-06-1974,57.4
31-07-1974,51
31-08-1974,46.4
30-09-1974,40.8
31-10-1974,28.9
30-11-1974,17
31-12-1974,11.5
31-01-1975,11.8
28-02-1975,15.7
31-03-1975,25.9
30-04-1975,38.1
31-05-1975,51.2
30-06-1975,57.8
31-07-1975,50.3
31-08-1975,46
30-09-1975,39.5
31-10-1975,29.4
30-11-1975,16.6
31-12-1975,12.9
