dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1817-01-01,-2.413,3.483,Srinagar,India,34.56N,73.95E
1817-02-01,0.799,2.41,Srinagar,India,34.56N,73.95E
1817-03-01,4.298,2.471,Srinagar,India,34.56N,73.95E
1817-04-01,9.787,2.368,Srinagar,India,34.56N,73.95E
1817-05-01,13.091,2.494,Srinagar,India,34.56N,73.95E
1817-06-01,16.211,1.891,Srinagar,India,34.56N,73.95E
1817-07-01,17.774,1.673,Srinagar,India,34.56N,73.95E
1817-08-01,18.443,1.723,Srinagar,India,34.56N,73.95E
1817-09-01,12.386,2.31,Srinagar,India,34.56N,73.95E
1817-10-01,7.903,2.478,Srinagar,India,34.56N,73.95E
1817-11-01,3.956,2.241,Srinagar,India,34.56N,73.95E
1817-12-01,-2.69,2.28,Srinagar,India,34.56N,73.95E
1818-01-01,-2.419,2.857,Srinagar,India,34.56N,73.95E
1818-02-01,-1.659,2.227,Srinagar,India,34.56N,73.95E
1818-03-01,,,Srinagar,India,34.56N,73.95E
1818-04-01,11.366,4.069,Srinagar,India,34.56N,73.95E
1818-05-01,15.077,2.895,Srinagar,India,34.56N,73.95E
1818-06-01,18.84,3.097,Srinagar,India,34.56N,73.95E
1818-07-01,18.693,2.251,Srinagar,India,34.56N,73.95E
1818-08-01,18.204,1.449,Srinagar,India,34.56N,73.95E
1818-09-01,13.897,1.916,Srinagar,India,34.56N,73.95E
1818-10-01,8.269,2.239,Srinagar,India,34.56N,73.95E
1818-11-01,4.242,3.504,Srinagar,India,34.56N,73.95E
1818-12-01,-0.826,1.894,Srinagar,India,34.56N,73.95E
1819-01-01,,,Srinagar,India,34.56N,73.95E
1819-02-01,,,Srinagar,India,34.56N,73.95E
1819-03-01,,,Srinagar,India,34.56N,73.95E
1819-04-01,,,Srinagar,India,34.56N,73.95E
1819-05-01,,,Srinagar,India,34.56N,73.95E
1819-06-01,,,Srinagar,India,34.56N,73.95E
1819-07-01,,,Srinagar,India,34.56N,73.95E
1819-08-01,,,Srinagar,India,34.56N,73.95E
1819-09-01,14.543,1.695,Srinagar,India,34.56N,73.95E
1819-10-01,10.347,1.836,Srinagar,India,34.56N,73.95E
1819-11-01,4.229,2.044,Srinagar,India,34.56N,73.95E
1819-12-01,,,Srinagar,India,34.56N,73.95E
1820-01-01,,,Srinagar,India,34.56N,73.95E
1820-02-01,-1.213,2.465,Srinagar,India,34.56N,73.95E
1820-03-01,,,Srinagar,India,34.56N,73.95E
1820-04-01,,,Srinagar,India,34.56N,73.95E
1820-05-01,14.977,2.345,Srinagar,India,34.56N,73.95E
1820-06-01,18.025,1.767,Srinagar,India,34.56N,73.95E
1820-07-01,,,Srinagar,India,34.56N,73.95E
1820-08-01,16.827,1.869,Srinagar,India,34.56N,73.95E
1820-09-01,14.668,1.841,Srinagar,India,34.56N,73.95E
1820-10-01,8.965,1.733,Srinagar,India,34.56N,73.95E
1820-11-01,3.425,1.712,Srinagar,India,34.56N,73.95E
1820-12-01,-1.706,1.781,Srinagar,India,34.56N,73.95E
1821-01-01,-0.927,2.72,Srinagar,India,34.56N,73.95E
1821-02-01,1.015,3.379,Srinagar,India,34.56N,73.95E
1821-03-01,4.83,2.29,Srinagar,India,34.56N,73.95E
1821-04-01,9.36,2.246,Srinagar,India,34.56N,73.95E
1821-05-01,14.906,2.314,Srinagar,India,34.56N,73.95E
1821-06-01,17.711,2.319,Srinagar,India,34.56N,73.95E
1821-07-01,18.499,1.789,Srinagar,India,34.56N,73.95E
1821-08-01,17.967,1.553,Srinagar,India,34.56N,73.95E
1821-09-01,13.577,1.654,Srinagar,India,34.56N,73.95E
1821-10-01,9.768,1.696,Srinagar,India,34.56N,73.95E
1821-11-01,4.995,2.3,Srinagar,India,34.56N,73.95E
1821-12-01,-0.299,1.877,Srinagar,India,34.56N,73.95E
1822-01-01,-0.872,2.518,Srinagar,India,34.56N,73.95E
1822-02-01,1.799,2.376,Srinagar,India,34.56N,73.95E
1822-03-01,7.257,2.246,Srinagar,India,34.56N,73.95E
1822-04-01,9.803,2.17,Srinagar,India,34.56N,73.95E
1822-05-01,14.276,2.18,Srinagar,India,34.56N,73.95E
1822-06-01,17.979,1.807,Srinagar,India,34.56N,73.95E
1822-07-01,19.586,1.571,Srinagar,India,34.56N,73.95E
1822-08-01,18.019,2.02,Srinagar,India,34.56N,73.95E
1822-09-01,14.178,1.902,Srinagar,India,34.56N,73.95E
1822-10-01,9.067,1.726,Srinagar,India,34.56N,73.95E
1822-11-01,3.593,1.884,Srinagar,India,34.56N,73.95E
1822-12-01,-1.913,2.141,Srinagar,India,34.56N,73.95E
1823-01-01,-1.927,1.997,Srinagar,India,34.56N,73.95E
1823-02-01,-0.418,2.557,Srinagar,India,34.56N,73.95E
1823-03-01,4.633,2.227,Srinagar,India,34.56N,73.95E
1823-04-01,9.649,2.462,Srinagar,India,34.56N,73.95E
1823-05-01,14.261,2.215,Srinagar,India,34.56N,73.95E
1823-06-01,18.803,2.189,Srinagar,India,34.56N,73.95E
1823-07-01,19.447,1.544,Srinagar,India,34.56N,73.95E
1823-08-01,17.822,1.621,Srinagar,India,34.56N,73.95E
1823-09-01,13.533,1.73,Srinagar,India,34.56N,73.95E
1823-10-01,8.927,1.88,Srinagar,India,34.56N,73.95E
1823-11-01,3.443,2.629,Srinagar,India,34.56N,73.95E
1823-12-01,,,Srinagar,India,34.56N,73.95E
